CODICE_COMUNE;CODICE_ISTAT;PROGRESSIVO_NAZIONALE;CODICE_COMUNALE;ODONIMO;LOCALITA';TOTALE_ACCESSI;DIZIONE_LINGUA1;DIZIONE_LINGUA2;unnamed_10
M208;079160;1245600;;CONTRADA MALASPINA;;0;;;
M208;079160;1245609;;CONTRADA MARCHIONE;;0;;;
M208;079160;1245614;;CONTRADA MARRANO;;10;;;
M208;079160;1245617;;CONTRADA MARSOMIGLIO;;4;;;
M208;079160;1245625;;CONTRADA MATACCA;;8;;;
M208;079160;1245633;;CONTRADA MENDICINO RENDA;;0;;;
M208;079160;1245642;;CONTRADA MIGLIERINA;;9;;;
M208;079160;1246219;;CONTRADA MILETO;;1;;;
M208;079160;1245646;;CONTRADA MINA';;0;;;
M208;079160;1245648;;CONTRADA MISA';;16;;;
M208;079160;1245649;;CONTRADA MITOIO;;29;;;
M208;079160;1245659;;CONTRADA MONTAGNOLA;;2;;;
M208;079160;1245678;;CONTRADA MONTESANTI;;0;;;
M208;079160;1245682;;CONTRADA MURETTO;;14;;;
M208;079160;1245683;;CONTRADA MURO DI GRASSO;;0;;;
M208;079160;1245684;;CONTRADA MUZIO;;3;;;
M208;079160;1246253;;CONTRADA NARDELLI;;2;;;
M208;079160;1246250;;CONTRADA NDINI;;0;;;
M208;079160;1245699;;CONTRADA NOCE;;4;;;
M208;079160;1246211;;CONTRADA PALADINA;;1;;;
M208;079160;1245716;;CONTRADA PALAZZO;;4;;;
M208;079160;1245719;;CONTRADA PALMIERI;;2;;;
M208;079160;1245723;;CONTRADA PANE;;0;;;
M208;079160;1245728;;CONTRADA PAPAZZO;;14;;;
M208;079160;1246187;;CONTRADA PASTORIZIA;;0;;;
M208;079160;1245734;;CONTRADA PASTORIZZA;;0;;;
M208;079160;1245739;;CONTRADA PETRAPPA;;0;;;
M208;079160;1245741;;CONTRADA PIANO DEL DUCA;;0;;;
M208;079160;1245743;;CONTRADA PIANO LUPPINO;;33;;;
M208;079160;1245755;;CONTRADA PIGNA;;0;;;
M208;079160;1246215;;CONTRADA PIGNA MAZZEI;;6;;;
M208;079160;1246188;;CONTRADA PILLI CALIGIURI;;6;;;
M208;079160;1245756;;CONTRADA PILLI CAPIZZAGLIE;;5;;;
M208;079160;1246155;;CONTRADA PILLI FRANCICA;;0;;;
M208;079160;1245758;;CONTRADA PIOMBO ZAPPANOTTE;;43;;;
M208;079160;1245759;;CONTRADA PIRO';;10;;;
M208;079160;1245774;;CONTRADA PRATO;SAN PIETRO LAMETINO;3;;;
M208;079160;1245779;;CONTRADA PROCESSIONE STOCCO;;7;;;
M208;079160;1245780;;CONTRADA PRUNIA;;0;;;
M208;079160;1245788;;CONTRADA QUATTROCCHI;;27;;;
M208;079160;1245801;;CONTRADA RICHETTI;;2;;;
M208;079160;1245813;;CONTRADA ROMEO;;0;;;
M208;079160;1246162;;CONTRADA ROMEO SALADINI;;2;;;
M208;079160;1245815;;CONTRADA ROTOLI;;0;;;
M208;079160;1245819;;CONTRADA SACCO;;0;;;
M208;079160;1245825;;CONTRADA SAGRESTIA;;0;;;
M208;079160;1246110;;CONTRADA SALADINI ROMEO;;0;;;
M208;079160;1246259;;CONTRADA SAN IANNI;;0;;;
M208;079160;1245854;;CONTRADA SAN NICOLA;;1;;;
M208;079160;1245880;;CONTRADA SANTA MARIA;;37;;;
M208;079160;1245887;;CONTRADA SANTA VENERE;;33;;;
M208;079160;1245892;;CONTRADA SANT'ERMIA;;14;;;
M208;079160;1245893;;CONTRADA SANT'EUFEMIA VETERE;;0;;;
M208;079160;1245897;;CONTRADA SANTO SIDERO;;22;;;
M208;079160;1245904;;CONTRADA SAVUTANO;;0;;;
M208;079160;1245913;;CONTRADA SCHIENO VIESTE;;5;;;
M208;079160;1245914;;CONTRADA SCHIPANI;;5;;;
M208;079160;1245916;;CONTRADA SCINA';;32;;;
M208;079160;1245918;;CONTRADA SCORDOVILLO;;0;;;
M208;079160;1245922;;CONTRADA SEMINARIO;;0;;;
M208;079160;1245926;;CONTRADA SERRA CASTAGNA;;22;;;
M208;079160;1245928;;CONTRADA SGARANO;;29;;;
M208;079160;1245935;;CONTRADA SOCCORSO;;1;;;
M208;079160;1245937;;CONTRADA SORBELLO;;14;;;
M208;079160;1246255;;CONTRADA SPAGNOLO;;0;;;
M208;079160;1245939;;CONTRADA SPAGNUOLO;;0;;;
M208;079160;1245940;;CONTRADA SPANO';;9;;;
M208;079160;1245941;;CONTRADA SPARTA';;9;;;
M208;079160;1245945;;CONTRADA SPINETO;;16;;;
M208;079160;1245946;;CONTRADA STACCATELLO;;0;;;
M208;079160;1246185;;CONTRADA STIGLIOLA;;0;;;
M208;079160;1245954;;CONTRADA STRAZZAVESTE;;1;;;
M208;079160;1245957;;CONTRADA TALARICO;;0;;;
M208;079160;1245959;;CONTRADA TELARA;;10;;;
M208;079160;1245968;;CONTRADA TIMPE ROSSE;;1;;;
M208;079160;1245971;;CONTRADA TOCCI;FRONTI;3;;;
M208;079160;1246233;;CONTRADA TRAZZA;;1;;;
M208;079160;1245991;;CONTRADA TRE TERZI;SAN PIETRO LAMETINO;2;;;
M208;079160;1246021;;CONTRADA VALLE RICCIARDI INFERIORE;;16;;;
M208;079160;1246020;;CONTRADA VALLE RICCIARDI SUPERIORE;;17;;;
M208;079160;1246023;;CONTRADA VATALARO;;0;;;
M208;079160;1246026;;CONTRADA VELATI;;5;;;
M208;079160;1246214;;CONTRADA VELATI RAMETTA;;8;;;
M208;079160;1246030;;CONTRADA VERITA';;4;;;
M208;079160;1246037;;CONTRADA VIGNOLA STATTI;;0;;;
M208;079160;1246207;;CONTRADA VISCARDI;;1;;;
M208;079160;1246059;;CONTRADA VONIO;;16;;;
M208;079160;1246074;;CONTRADA ZAPPANOTTE;;4;;;
M208;079160;1246076;;CONTRADA ZINNAVO;;2;;;
M208;079160;1246077;;CONTRADA ZOCCA;;0;;;
M208;079160;1246081;;CONTRADA ZUPPELLO;;6;;;
M208;079160;1245258;;CORSO DELLA REPUBBLICA;;22;;;
M208;079160;1245418;;CORSO GIOVANNI NICOTERA;;238;;;
M208;079160;1245701;;CORSO NUMISTRANO;;57;;;
M208;079160;1246055;;CORSO VITTORIO EMANUELE;;0;;;
M208;079160;1245055;;LARGHETTO BLASCHI;;13;;;
M208;079160;1245070;;LARGHETTO BRUZIO;;4;;;
M208;079160;1245170;;LARGHETTO COLONNELLO CASSOLI;;2;;;
M208;079160;1245194;;LARGHETTO CROCEFISSO;;1;;;
M208;079160;1245397;;LARGHETTO GINNASIO;;2;;;
M208;079160;1245534;;LARGHETTO INDIPENDENZA;;3;;;
M208;079160;1245708;;LARGHETTO OSPEDALE;;1;;;
M208;079160;1245874;;LARGHETTO SANTA CROCE;;1;;;
M208;079160;1245889;;LARGHETTO SANT'ANTONIO;;8;;;
