CODICE_COMUNE;CODICE_ISTAT;PROGRESSIVO_NAZIONALE;CODICE_COMUNALE;ODONIMO;LOCALITA';TOTALE_ACCESSI;DIZIONE_LINGUA1;DIZIONE_LINGUA2;unnamed_10
M208;079160;1245509;;TRAVERSA SECONDA DI VIALE DEI MILLE;;1;;;
M208;079160;1245510;;TRAVERSA SECONDA DI VIALE PRIMO MAGGIO;;4;;;
M208;079160;1246035;;TRAVERSA SESTA DI VIA DEI BIZANTINI;;10;;;
M208;079160;1246282;;TRAVERSA SESTA DI VIA MADONNA DELLA SPINA;;2;;;
M208;079160;1246040;;TRAVERSA SETTIMA DI VIA DEI BIZANTINI;;13;;;
M208;079160;1246275;;TRAVERSA SETTIMA DI VIA MADONNA DELLA SPINA;;19;;;
M208;079160;1245520;;TRAVERSA TERZA DI VIA DEI BIZANTINI;;11;;;
M208;079160;1245521;;TRAVERSA TERZA DI VIA ENRICO TOTI;;0;;;
M208;079160;1246115;;TRAVERSA TERZA DI VIA MADONNA DELLA SPINA;;7;;;
M208;079160;1245522;;TRAVERSA TERZA DI VIA MONTEGRAPPA;SAN PIETRO LAMETINO;0;;;
M208;079160;1245523;;TRAVERSA TERZA DI VIA SAVERIO D'IPPOLITO;;6;;;
M208;079160;1245524;;TRAVERSA TERZA DI VIA SCIRO';;0;;;
M208;079160;1246065;;TRAVERSA TREDICESIMA DI VIA DEI BIZANTINI;;7;;;
M208;079160;1246062;;TRAVERSA UNDICESIMA DI VIA DEI BIZANTINI;;8;;;
M208;079160;1245807;;VIA ABATE ROBERTO DI GRANDMESNIL;;28;;;
M208;079160;1244976;;VIA ABRUZZI;BELLA;15;;;
M208;079160;1246084;;VIA ACHILLE GRANDE;;19;;;
M208;079160;1244979;;VIA ACQUAFREDDA;;277;;;
M208;079160;1244980;;VIA ADAMELLO;;50;;;
M208;079160;1244981;;VIA ADDA;;122;;;
M208;079160;1244982;;VIA ADDOLORATA;;18;;;
M208;079160;1244983;;VIA ADDURI;;8;;;
M208;079160;1246198;;VIA ADELINA MORACA;;1;;;
M208;079160;1244985;;VIA ADIGE;;12;;;
M208;079160;1244987;;VIA AEROPORTO;;0;;;
M208;079160;1246134;;VIA AFRICA;;29;;;
M208;079160;1244989;;VIA ALBERT EINSTEIN;;12;;;
M208;079160;1244990;;VIA ALBERT SCHWAITZER;;1;;;
M208;079160;1244991;;VIA ALCIDE DE GASPERI;;11;;;
M208;079160;1244992;;VIA ALDO MORO;;69;;;
M208;079160;1244993;;VIA ALDO PERONACI;;11;;;
M208;079160;1244994;;VIA ALESSANDRO MANZONI;;53;;;
M208;079160;1244995;;VIA ALESSANDRO VOLTA;;42;;;
M208;079160;1246161;;VIA ALIDA NUCIFERO;;61;;;
M208;079160;1246153;;VIA ALISEI;;2;;;
M208;079160;1246292;;VIA AMALIA COLAVITA;;15;;;
M208;079160;1244997;;VIA AMERIGO VESPUCCI;;7;;;
M208;079160;1244977;;VIA ANDREA CEFALY SENIOR;;12;;;
M208;079160;1244998;;VIA ANDREA COSTA;;14;;;
M208;079160;1244999;;VIA ANDREA MANTEGNA;;33;;;
M208;079160;1245004;;VIA ANTONELLO DA MESSINA;;52;;;
M208;079160;1245005;;VIA ANTONINO ANILE;;10;;;
M208;079160;1245006;;VIA ANTONIO CANOVA;;17;;;
M208;079160;1245007;;VIA ANTONIO CAPPELLI;;87;;;
M208;079160;1245008;;VIA ANTONIO DA OLIVADI;;22;;;
M208;079160;1245009;;VIA ANTONIO DE CURTIS;;9;;;
M208;079160;1246108;;VIA ANTONIO DE GRAZIA;;7;;;
M208;079160;1244984;;VIA ANTONIO DE MEDICI;;47;;;
M208;079160;1244986;;VIA ANTONIO D'IPPOLITO;;47;;;
M208;079160;1245010;;VIA ANTONIO GRAMSCI;;52;;;
M208;079160;1246199;;VIA ANTONIO MARASCO;;2;;;
M208;079160;1246293;;VIA ANTONIO MEUCCI;;12;;;
M208;079160;1245011;;VIA ANTONIO MISIANI;;44;;;
M208;079160;1246098;;VIA ANTONIO MORELLI;;20;;;
M208;079160;1245012;;VIA ANTONIO REILLO;;41;;;
M208;079160;1245017;;VIA ANTONIO RENDE;;3;;;
M208;079160;1245013;;VIA ANTONIO SEGNI;;4;;;
M208;079160;1245015;;VIA ARCHIMEDE;;2;;;
M208;079160;1245016;;VIA ARCURI;;34;;;
M208;079160;1245018;;VIA ARISTOTELE;;27;;;
M208;079160;1245020;;VIA ARMANDO DIAZ;;6;;;
M208;079160;1245023;;VIA ARMANDO SCARPINO;;4;;;
M208;079160;1245021;;VIA ARNO;;15;;;
M208;079160;1245022;;VIA ARTURO TOSCANINI;;2;;;
M208;079160;1245024;;VIA ASIA;;5;;;
M208;079160;1245025;;VIA ASPROMONTE;;5;;;
M208;079160;1245031;;VIA AURELIO CASSIODORO;;44;;;
M208;079160;1245032;;VIA AUSTRALIA;;4;;;
M208;079160;1245033;;VIA BAGNI;;2;;;
M208;079160;1245038;;VIA BAROLO;;5;;;
M208;079160;1245040;;VIA BASILICATA;;20;;;
M208;079160;1246171;;VIA BASILIO DE FAZIO;;51;;;
M208;079160;1245041;;VIA BASILIO SPOSATO;;33;;;
M208;079160;1246173;;VIA BATTAGLIA DI MAIDA;;9;;;
M208;079160;1245044;;VIA BEATO ANGELICO;;28;;;
M208;079160;1245047;;VIA BELVEDERE;;31;;;
M208;079160;1245050;;VIA BENEDETTO MUSOLINO;;20;;;
M208;079160;1245052;;VIA BENEVENTO;;29;;;
M208;079160;1246163;;VIA BERNARDINO BENINCASA;;25;;;
M208;079160;1245053;;VIA BERNARDINO TELESIO;;59;;;
M208;079160;1245054;;VIA BEZZECCA;;17;;;
M208;079160;1245059;;VIA BOLZANO;;38;;;
M208;079160;1245060;;VIA BORBONI DI NAPOLI;;6;;;
M208;079160;1245063;;VIA BOSCO SANT'ANTONIO;;2;;;
M208;079160;1245066;;VIA BRENTA;;42;;;
M208;079160;1245068;;VIA BREZIA;;5;;;
M208;079160;1246154;;VIA BREZZA;;1;;;
M208;079160;1245069;;VIA BRUNO BUOZZI;;12;;;
M208;079160;1245074;;VIA BUSENTO;;41;;;
M208;079160;1245075;;VIA CADORE;;18;;;
M208;079160;1245076;;VIA CAFALDO;;35;;;
M208;079160;1245081;;VIA CAFARONE;;45;;;
M208;079160;1245083;;VIA CAFOSSI;;17;;;
M208;079160;1245084;;VIA CAGLIARI;BELLA;3;;;
M208;079160;1245085;;VIA CAIO FIORE;;25;;;
M208;079160;1245086;;VIA CAIROLI;;15;;;
M208;079160;1245087;;VIA CALABRIA;;74;;;
M208;079160;1245088;;VIA CALATAFIMI;;24;;;
M208;079160;1245089;;VIA CALIA;;31;;;
M208;079160;1245167;;VIA CALIA;;0;;;
M208;079160;1245092;;VIA CALLERI;;4;;;
M208;079160;1245093;;VIA CALVARIO;;28;;;
M208;079160;1245579;;VIA CAMILLO LORIEDO;;10;;;
M208;079160;1245094;;VIA CAMPANIA;;65;;;
M208;079160;1245098;;VIA CANNETO;;72;;;
M208;079160;1245103;;VIA CAPITANO MANFREDI;;104;;;
M208;079160;1245105;;VIA CAPITOLO;;6;;;
M208;079160;1245109;;VIA CARAVAGGIO;;16;;;
M208;079160;1245112;;VIA CARCERI;;6;;;
M208;079160;1245461;;VIA CARDINALE SIRLETO GUGLIELMO;;32;;;
M208;079160;1245115;;VIA CARLO ARDITO;;8;;;
M208;079160;1245148;;VIA CARLO DE CARDONA;;0;;;
M208;079160;1245116;;VIA CARLO GOLDONI;;14;;;
M208;079160;1245117;;VIA CARLO MARIA TALARICO;;14;;;
M208;079160;1245740;;VIA CARLO PETRONIO;;2;;;
M208;079160;1245118;;VIA CARLO TREVES;;9;;;
M208;079160;1245119;;VIA CARLO TUCCI;;18;;;
M208;079160;1246167;;VIA CARMELINA TROPEA;;51;;;
M208;079160;1245121;;VIA CARNIA;;30;;;
M208;079160;1245123;;VIA CARONTE;;8;;;
M208;079160;1245135;;VIA CARSO;;4;;;
M208;079160;1245137;;VIA CASE NUOVE;;25;;;
M208;079160;1245140;;VIA CASTAGNELLA;;0;;;
M208;079160;1245141;;VIA CASTEL FIDARDO;;9;;;
M208;079160;1246224;;VIA CATERINA MOLINARO;;16;;;
M208;079160;1245144;;VIA CAVALIERE NICOLA AZZARITO;;14;;;
M208;079160;1245145;;VIA CAVALIERI DI MALTA;;13;;;
M208;079160;1245146;;VIA CAVALLERIZZA;;13;;;
M208;079160;1245147;;VIA CAVOUR;;44;;;
M208;079160;1245153;;VIA CERASOLO;;16;;;
M208;079160;1245155;;VIA CESARE BATTISTI;;9;;;
M208;079160;1245156;;VIA CESARE PAVESE;;9;;;
M208;079160;1245157;;VIA CESARE TEODORO MERCURI;;4;;;
M208;079160;1245160;;VIA CIALDINI;;9;;;
M208;079160;1245161;;VIA CIMABUE;;19;;;
M208;079160;1245162;;VIA CIRILLO;;34;;;
M208;079160;1245163;;VIA CITTADELLA;;12;;;
M208;079160;1245165;;VIA CLEARCO DI REGGIO;;8;;;
M208;079160;1245166;;VIA COLADARCI;;17;;;
M208;079160;1245168;;VIA COLONNA DI SERRA;;8;;;
M208;079160;1245169;;VIA COLONNELLO CASSOLI;;6;;;
M208;079160;1245172;;VIA COMMERCIO;;31;;;
M208;079160;1246202;;VIA CONCETTA FLORO;;15;;;
M208;079160;1245177;;VIA CONCIAPELLE;;23;;;
M208;079160;1245178;;VIA CONFORTI;;166;;;
M208;079160;1245182;;VIA CORRADO ALVARO;;17;;;
M208;079160;1245185;;VIA COSCHI;;68;;;
M208;079160;1245191;;VIA CRATI;;32;;;
M208;079160;1245192;;VIA CRISTOFORO COLOMBO;;72;;;
M208;079160;1245193;;VIA CROCEFISSO;;69;;;
M208;079160;1245199;;VIA CRUCICCHIA;;1;;;
M208;079160;1245201;;VIA CURTATONE;;2;;;
M208;079160;1245205;;VIA DAMIANO CHIESA;;16;;;
M208;079160;1245211;;VIA DANTE ALIGHIERI;;7;;;
M208;079160;1246200;;VIA DARIO GALLI;;18;;;
M208;079160;1246122;;VIA DARIO LEONE;;100;;;
M208;079160;1245270;;VIA DE PRETIS;;24;;;
M208;079160;1246157;;VIA DEGLI ABETI;;8;;;
M208;079160;1246102;;VIA DEGLI ALLORI;;2;;;
M208;079160;1246176;;VIA DEGLI AUSONI;;24;;;
M208;079160;1245215;;VIA DEGLI EMIGRANTI;;20;;;
M208;079160;1245216;;VIA DEGLI ENOTRI;;48;;;
M208;079160;1246288;;VIA DEGLI EQUI;;14;;;
M208;079160;1245217;;VIA DEGLI ETRUSCHI;;24;;;
M208;079160;1246101;;VIA DEGLI EUCALIPTI;;28;;;
M208;079160;1245218;;VIA DEGLI IRPINI;;2;;;
M208;079160;1245219;;VIA DEGLI ITALI;;134;;;
M208;079160;1245220;;VIA DEGLI OLEANDRI;;3;;;
M208;079160;1246129;;VIA DEGLI OLMI;;6;;;
M208;079160;1245221;;VIA DEGLI SVEVI;;50;;;
M208;079160;1245222;;VIA DEGLI ULIVETI;;44;;;
M208;079160;1246116;;VIA DEGLI UMBRI;;8;;;
M208;079160;1245223;;VIA DEI BIZANTINI;;361;;;
M208;079160;1245224;;VIA DEI BRUTII;;153;;;
M208;079160;1245225;;VIA DEI CAROLINGI;;8;;;
M208;079160;1246156;;VIA DEI CASTAGNI;;3;;;
M208;079160;1246181;;VIA DEI CEDRI;;3;;;
M208;079160;1246192;;VIA DEI CELTI;;2;;;
M208;079160;1246170;;VIA DEI CERRI;;3;;;
M208;079160;1245226;;VIA DEI CICLAMINI;;29;;;
M208;079160;1246148;;VIA DEI CORSI;;3;;;
M208;079160;1246120;;VIA DEI FAGGI;;6;;;
M208;079160;1245227;;VIA DEI FALEGNAMI;;25;;;
M208;079160;1246117;;VIA DEI FENICI;;4;;;
M208;079160;1246131;;VIA DEI FRASSINI;;5;;;
M208;079160;1246149;;VIA DEI FRENTANI;;5;;;
M208;079160;1245228;;VIA DEI GAROFANI;;9;;;
M208;079160;1246142;;VIA DEI GELSI;;8;;;
M208;079160;1245229;;VIA DEI GELSOMINI;;30;;;
M208;079160;1245230;;VIA DEI GERANI;;0;;;
M208;079160;1245232;;VIA DEI GIGLI;;14;;;
M208;079160;1246106;;VIA DEI GLADIOLI;;9;;;
M208;079160;1245233;;VIA DEI GLICINI;;19;;;
M208;079160;1246105;;VIA DEI GRECI;;39;;;
M208;079160;1245234;;VIA DEI LATINI;;19;;;
M208;079160;1246230;;VIA DEI LECCI;;13;;;
M208;079160;1246182;;VIA DEI LUCANI;;2;;;
M208;079160;1246238;;VIA DEI MARRUCINI;;2;;;
M208;079160;1245237;;VIA DEI MONACI BASILIANI;;3;;;
M208;079160;1245238;;VIA DEI MORGETI;;65;;;
M208;079160;1246193;;VIA DEI NARCISI;;13;;;
M208;079160;1246196;;VIA DEI NOCI;;7;;;
M208;079160;1245240;;VIA DEI NORMANNI;;21;;;
M208;079160;1245242;;VIA DEI PATRIOTI NICASTRESI 1848;;3;;;
M208;079160;1245243;;VIA DEI PATRIOTI SAMBIASINI 1848;;109;;;
M208;079160;1246132;;VIA DEI PIOPPI;;6;;;
M208;079160;1246177;;VIA DEI PLATANI;;0;;;
M208;079160;1245244;;VIA DEI ROMANI;;33;;;
M208;079160;1246143;;VIA DEI SABELLI;;5;;;
M208;079160;1246251;;VIA DEI SALENTINI;;3;;;
M208;079160;1245245;;VIA DEI SALICI;;21;;;
M208;079160;1246123;;VIA DEI SANNITI;;29;;;
M208;079160;1246137;;VIA DEI SARDI;;2;;;
M208;079160;1246150;;VIA DEI SICULI;;3;;;
M208;079160;1246204;;VIA DEI TAURINI;;7;;;
M208;079160;1245246;;VIA DEI TIGLI;;8;;;
M208;079160;1246002;;VIA DEI TULIPANI;;7;;;
M208;079160;1246241;;VIA DEI VOLSCI;;6;;;
M208;079160;1245248;;VIA DEL LAVORO;;11;;;
M208;079160;1245249;;VIA DEL MARE;;59;;;
M208;079160;1245250;;VIA DEL MULINO;;2;;;
M208;079160;1245251;;VIA DEL PROGRESSO;;503;;;
M208;079160;1246140;;VIA DEL SOCCORSO;;18;;;
M208;079160;1245252;;VIA D'ELIA;;23;;;
M208;079160;1245253;;VIA DELLA GIUDECCA;;17;;;
M208;079160;1245255;;VIA DELLA PACE;;4;;;
M208;079160;1245256;;VIA DELLA QUERCIA ANTICA;;11;;;
M208;079160;1245261;;VIA DELLA VITTORIA;;80;;;
M208;079160;1246130;;VIA DELLE BETULLE;;0;;;
M208;079160;1245262;;VIA DELLE GINESTRE;;17;;;
M208;079160;1245263;;VIA DELLE IMPRESE;;35;;;
M208;079160;1245264;;VIA DELLE NAZIONI;;96;;;
M208;079160;1245265;;VIA DELLE PALME;;26;;;
M208;079160;1246277;;VIA DELLE QUERCE;;8;;;
M208;079160;1245266;;VIA DELLE ROSE;;35;;;
M208;079160;1246121;;VIA DELLE TAMERICI;;7;;;
M208;079160;1245267;;VIA DELLE TERME;;103;;;
M208;079160;1245268;;VIA DELLE VIGNE;;6;;;
M208;079160;1245269;;VIA DELLE VIOLE;;15;;;
M208;079160;1245273;;VIA DOMENICO ANTONIO PETRUZZA;;12;;;
M208;079160;1246180;;VIA DOMENICO CURCIO;;8;;;
M208;079160;1245274;;VIA DOMENICO E FRANCESCO RUBINO;;20;;;
M208;079160;1245353;;VIA DOMENICO FRANZI';;14;;;
M208;079160;1245278;;VIA DOMENICO PORCHIO;;0;;;
M208;079160;1246283;;VIA DON LORENZO MILANI;;2;;;
M208;079160;1245275;;VIA DON LUIGI STURZO;;61;;;
M208;079160;1245279;;VIA DUCA D'AOSTA;;59;;;
M208;079160;1245280;;VIA DUCA DEGLI ABRUZZI;SAMBIASE;27;;;
M208;079160;1245281;;VIA DUCA DI GENOVA;;22;;;
M208;079160;1245282;;VIA DUCCIO DI BUONINSEGNA;;2;;;
M208;079160;1246272;;VIA EDOARDO E DOMENICO NICOTERA;;52;;;
M208;079160;1245285;;VIA EDOARDO E FELICE FIORE;;52;;;
M208;079160;1245286;;VIA EDOARDO MONTESANTI;;8;;;
M208;079160;1245287;;VIA EDUARDO DE FILIPPO;;11;;;
M208;079160;1245290;;VIA EMANUELE FILIBERTO;;7;;;
M208;079160;1245288;;VIA EMANUELE GRANDE;;4;;;
M208;079160;1245291;;VIA EMILIA;;61;;;
M208;079160;1245283;;VIA EMILIO BARBERIO;;13;;;
M208;079160;1246191;;VIA EMILIO LA SCALA;;47;;;
M208;079160;1245292;;VIA EMILIO LUSSU;;1;;;
M208;079160;1245300;;VIA EMILIO SEGRE;;17;;;
M208;079160;1245293;;VIA ENRICO BERLINGUER;;2;;;
M208;079160;1245171;;VIA ENRICO COLOSIMO;;32;;;
M208;079160;1245214;;VIA ENRICO DE NICOLA;;8;;;
M208;079160;1245294;;VIA ENRICO FERMI;;6;;;
M208;079160;1245295;;VIA ENRICO TOTI;;108;;;
M208;079160;1245298;;VIA ERNESTO PONTIERI;;8;;;
M208;079160;1245299;;VIA EROI DI SAPRI;;167;;;
M208;079160;1245297;;VIA ETTORE E RUGGERO DE MEDICI;;19;;;
M208;079160;1245301;;VIA ETTORE MAJORANA;;10;;;
M208;079160;1246100;;VIA EUCLIDE;;12;;;
M208;079160;1245302;;VIA EUGENIO MONTALE;;26;;;
M208;079160;1245305;;VIA FABIO FILZI;;15;;;
M208;079160;1246227;;VIA FALERNO;;2;;;
M208;079160;1246141;;VIA FAVONIO;;0;;;
M208;079160;1246209;;VIA FEDERICO MONTESANTI;;9;;;
M208;079160;1245310;;VIA FEDERICO NICOTERA;;69;;;
M208;079160;1245309;;VIA FEDERICO SECONDO;;36;;;
M208;079160;1246099;;VIA FELICE MONTESANTI;;26;;;
M208;079160;1245797;;VIA FELICE RENDA;;6;;;
M208;079160;1245314;;VIA FERRARA;;1;;;
M208;079160;1245319;;VIA FERRUCCIO;;61;;;
M208;079160;1245321;;VIA FIDIA;;22;;;
M208;079160;1245591;;VIA FILIPPA;;0;;;
M208;079160;1245322;;VIA FILIPPA ZANGARONA NICASTRO;;2;;;
M208;079160;1245323;;VIA FILIPPO CORRIDONI;;17;;;
M208;079160;1245324;;VIA FILIPPO TURATI;;5;;;
M208;079160;1245328;;VIA FIRENZE;;17;;;
M208;079160;1245329;;VIA FIUME;;55;;;
M208;079160;1245332;;VIA FONTANA SAN NICOLA;;0;;;
M208;079160;1245333;;VIA FONTANELLA;;0;;;
M208;079160;1246127;;VIA FONTE;;2;;;
M208;079160;1245337;;VIA FORMITI;;15;;;
M208;079160;1245339;;VIA FOSSE ARDEATINE;;12;;;
M208;079160;1245340;;VIA FRANCESCO ACRI;;10;;;
M208;079160;1246186;;VIA FRANCESCO ANTONIO D'IPPOLITO;;15;;;
M208;079160;1245341;;VIA FRANCESCO ANTONIO E LEOPOLDO FUNARO;;22;;;
M208;079160;1245034;;VIA FRANCESCO BARACCA;;6;;;
M208;079160;1246225;;VIA FRANCESCO BLAGANO';;20;;;
M208;079160;1245342;;VIA FRANCESCO BORRELLO;;18;;;
M208;079160;1245343;;VIA FRANCESCO CAPARELLO;;21;;;
M208;079160;1245344;;VIA FRANCESCO CILEA;;21;;;
M208;079160;1245345;;VIA FRANCESCO COLELLI;;90;;;
M208;079160;1245187;;VIA FRANCESCO COSTABILE;;27;;;
M208;079160;1245200;;VIA FRANCESCO CUPIRAGGI;;6;;;
M208;079160;1245346;;VIA FRANCESCO FERLAINO;;38;;;
M208;079160;1245347;;VIA FRANCESCO FIORENTINO;;62;;;
M208;079160;1245348;;VIA FRANCESCO GIOVANNI RUBINO;;5;;;
M208;079160;1245349;;VIA FRANCESCO IERACE;;33;;;
M208;079160;1245331;;VIA FRANCESCO LENORMANT;;29;;;
M208;079160;1245442;;VIA FRANCESCO MATARAZZO;;32;;;
M208;079160;1245350;;VIA FRANCESCO PETRARCA;;15;;;
M208;079160;1245351;;VIA FRANCESCO RISMONDI;;9;;;
M208;079160;1245362;;VIA FRANCESCO TETRO;;3;;;
M208;079160;1246284;;VIA FRANCESCO TRAMONTE E PASQUALE CRISTIANO;;0;;;
M208;079160;1245352;;VIA FRANCESCO TURCO;;25;;;
M208;079160;1245363;;VIA FRANCESCO VIRGILIO;;16;;;
M208;079160;1245355;;VIA FRATELLI BANDIERA;;6;;;
M208;079160;1245357;;VIA FRATELLI CERVI;;24;;;
M208;079160;1245359;;VIA FRATELLI PONZIO;;14;;;
M208;079160;1246111;;VIA FRATELLI ROSSELLI;;3;;;
M208;079160;1245361;;VIA FRIULI;;10;;;
M208;079160;1245367;;VIA GABRIELE CIANFLONE;;12;;;
M208;079160;1245208;;VIA GABRIELE D'ANNUNZIO;;25;;;
M208;079160;1245369;;VIA GAETANO DONIZETTI;;11;;;
M208;079160;1246276;;VIA GAETANO SCIREA;;8;;;
M208;079160;1245371;;VIA GALILEO GALILEI;;11;;;
M208;079160;1245372;;VIA GALLIANO;;20;;;
M208;079160;1245374;;VIA GALLUPPI;;37;;;
M208;079160;1245377;;VIA GARCIA LORCA;;21;;;
M208;079160;1245378;;VIA GARDONE;;8;;;
M208;079160;1245379;;VIA GASPARE MAZZEI;;9;;;
M208;079160;1246086;;VIA GENERALE ALFONSO LA MARMORA;;22;;;
M208;079160;1246266;;VIA GENERALE CARLO ALBERTO DALLA CHIESA;;17;;;
M208;079160;1245383;;VIA GENERALE DALLA CHIESA;;22;;;
M208;079160;1245384;;VIA GENERALE FIORE;;5;;;
M208;079160;1245385;;VIA GENERALE PIETRO CRISTAUDO;;9;;;
M208;079160;1245386;;VIA GENNARO E LORENZO ZAFFINA;;13;;;
M208;079160;1245387;;VIA GERARDO ROHLFS;;19;;;
M208;079160;1245388;;VIA GESUALDO SCARDAMAGLIA;;21;;;
M208;079160;1245389;;VIA GIACOMO LEOPARDI;;70;;;
M208;079160;1245390;;VIA GIACOMO MATTEOTTI;;26;;;
M208;079160;1245391;;VIA GIACOMO PUCCINI;;5;;;
M208;079160;1245396;;VIA GINEPRI;;0;;;
M208;079160;1245398;;VIA GINNASIO;;1;;;
M208;079160;1245399;;VIA GIOACCHINO DA FIORE;;46;;;
M208;079160;1245400;;VIA GIOACCHINO MURAT;;127;;;
M208;079160;1245401;;VIA GIOACHINO ROSSINI;;8;;;
M208;079160;1245402;;VIA GIOBERTI;;39;;;
M208;079160;1245403;;VIA GIORDANO BRUNO;;28;;;
M208;079160;1245409;;VIA GIORGIO AMENDOLA;;14;;;
M208;079160;1245404;;VIA GIORGIO LA PIRA;;67;;;
M208;079160;1245405;;VIA GIORGIO PINNA;;72;;;
M208;079160;1245406;;VIA GIOSUE' CARDUCCI;;18;;;
M208;079160;1245407;;VIA GIOVAN BATTISTA CAPUTI;;12;;;
M208;079160;1245435;;VIA GIOVAN BATTISTA E GIUSEPPE PARRACOCCHIA;;13;;;
M208;079160;1245408;;VIA GIOVAN BATTISTA ROSSO;;0;;;
M208;079160;1246242;;VIA GIOVANNI ALDINI;;4;;;
M208;079160;1245411;;VIA GIOVANNI BERARDINO VESCIO;;15;;;
M208;079160;1245412;;VIA GIOVANNI BERCHET;;3;;;
M208;079160;1245413;;VIA GIOVANNI BOCCACCIO;;40;;;
M208;079160;1246097;;VIA GIOVANNI DE SENSI;;4;;;
M208;079160;1245414;;VIA GIOVANNI FATTORI;;6;;;
M208;079160;1245415;;VIA GIOVANNI GENTILE;;5;;;
M208;079160;1245416;;VIA GIOVANNI GIOLITTI;;13;;;
M208;079160;1245417;;VIA GIOVANNI GRONCHI;;8;;;
M208;079160;1246139;;VIA GIOVANNI MACRI';;4;;;
M208;079160;1245419;;VIA GIOVANNI PASCOLI;;51;;;
M208;079160;1245420;;VIA GIOVANNI SALADINI;;26;;;
M208;079160;1245421;;VIA GIOVANNI TOMMASO PERRONE;;5;;;
M208;079160;1245423;;VIA GIOVANNI VENTITREESIMO;;36;;;
M208;079160;1245422;;VIA GIOVANNI VERGA;;4;;;
M208;079160;1245425;;VIA GIULIA;;5;;;
M208;079160;1245426;;VIA GIUSEPPE BUDERA;;25;;;
M208;079160;1245427;;VIA GIUSEPPE CASTALDI;;8;;;
M208;079160;1245428;;VIA GIUSEPPE DI VITTORIO;;11;;;
M208;079160;1245429;;VIA GIUSEPPE E PASQUALE PORCHIA;;0;;;
M208;079160;1245430;;VIA GIUSEPPE GARIBALDI;;76;;;
M208;079160;1246289;;VIA GIUSEPPE LAZZATI;;3;;;
M208;079160;1245432;;VIA GIUSEPPE MAIONE;;5;;;
M208;079160;1245433;;VIA GIUSEPPE MAZZINI;;58;;;
M208;079160;1245436;;VIA GIUSEPPE SARAGAT;;17;;;
M208;079160;1245456;;VIA GIUSEPPE TOMAINO;;6;;;
M208;079160;1245438;;VIA GIUSEPPE VERDI;;11;;;
M208;079160;1246203;;VIA GIUSEPPINA DE STEFANI;;21;;;
M208;079160;1245440;;VIA GIUSTINIANO PORCHIO;;14;;;
M208;079160;1245441;;VIA GIUSTINO FORTUNATO;;20;;;
M208;079160;1245443;;VIA GOFFREDO MALATERRA;;67;;;
M208;079160;1246147;;VIA GOITO;;27;;;
M208;079160;1245445;;VIA GORIZIA;;62;;;
M208;079160;1245446;;VIA GOVERNA;;15;;;
M208;079160;1245447;;VIA GRANDE;;3;;;
M208;079160;1245448;;VIA GRANDINETTI;;62;;;
M208;079160;1246267;;VIA GRAPPA;;29;;;
M208;079160;1245450;;VIA GRAZIA DELEDDA;;39;;;
M208;079160;1245454;;VIA GRIMALDI;;25;;;
M208;079160;1245460;;VIA GUGLIELMO OBERDAN;;51;;;
M208;079160;1245462;;VIA GUIDO DORSO;;41;;;
M208;079160;1246169;;VIA IDA FALVO D'URSO;;29;;;
M208;079160;1245532;;VIA ILARIONE DA FEROLETO ANTICO;;11;;;
M208;079160;1245535;;VIA INDIPENDENZA;;145;;;
M208;079160;1245541;;VIA INGEGNERE BUTERA;;11;;;
M208;079160;1245542;;VIA INGEGNERE GIUSEPPE D'AUDINO;;5;;;
M208;079160;1245543;;VIA INNOCENZO NONO;;26;;;
M208;079160;1245544;;VIA IPPOLITO D'IPPOLITO;;8;;;
M208;079160;1245545;;VIA ISAAC NEWTON;;51;;;
M208;079160;1245546;;VIA ISNARDI;;7;;;
M208;079160;1245547;;VIA ISONZO;;91;;;
M208;079160;1245548;;VIA ISTRIA;;39;;;
M208;079160;1245550;;VIA ITALO GALLI;;27;;;
M208;079160;1245561;;VIA JEAN HENRY DUNANT;;20;;;
M208;079160;1245562;;VIA JURI GAGARIN;;3;;;
M208;079160;1245565;;VIA LAMBRUSCO;;3;;;
M208;079160;1245568;;VIA LAZIO;;103;;;
M208;079160;1245572;;VIA LEONARDO DA VINCI;;55;;;
M208;079160;1245574;;VIA LIGURIA;;41;;;
M208;079160;1245575;;VIA LIPARI;;9;;;
M208;079160;1245576;;VIA LISSANIA;;18;;;
M208;079160;1245577;;VIA LOMBARDIA;;37;;;
M208;079160;1245578;;VIA LORENZO CALOGERO;;2;;;
M208;079160;1245580;;VIA LUCA SIGNORELLI;;10;;;
M208;079160;1245581;;VIA LUDOVICO ARIOSTO;;9;;;
M208;079160;1246160;;VIA LUIGI CERMINARA;;0;;;
M208;079160;1245582;;VIA LUIGI DI SARRO;;18;;;
M208;079160;1245583;;VIA LUIGI EINAUDI;;41;;;
M208;079160;1245584;;VIA LUIGI GALVANI;;18;;;
M208;079160;1245585;;VIA LUIGI LONGO;;12;;;
M208;079160;1245586;;VIA LUIGI PIRANDELLO;;19;;;
M208;079160;1246184;;VIA LUIGI PULLIA;;1;;;
M208;079160;1245804;;VIA LUIGI RIZZO;;11;;;
M208;079160;1245587;;VIA LUIGI SETTEMBRINI;;115;;;
M208;079160;1246138;;VIA MACELLO VECCHIO;;19;;;
M208;079160;1245593;;VIA MADONNA DEL CARMINE;;17;;;
M208;079160;1246112;;VIA MADONNA DELLA SPINA;;54;;;
