review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,recommended_candidate_source,review_candidate_lon,review_candidate_lat,recommended_review_track,decision_readiness,evidence_agreement,local_candidate_method,local_candidate_confidence,local_distance_from_source_m,geocode_provider_confidence,geocode_distance_from_source_m,local_geocode_distance_m,reviewer_action,reviewer_lon,reviewer_lat,coordinate_decision_confidence,reviewed_by,review_date,coordinate_reason,reviewer_notes,audit_expected_status
19,3523735,CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3245016,38.9828973,local_anncsu_anchor,16.2827535,38.9877062,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,3647.8,,,,,,,,,,,,not_reviewed
20,3523736,CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3312092,38.9711303,local_anncsu_anchor,16.2828539,38.9877038,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4568.1,,,,,,,,,,,,not_reviewed
21,3602867,TRAVERSA PRIMA DI VIA GIORGIO AMENDOLA,7,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3112171,38.9586074,local_anncsu_anchor,16.3178332,38.9706673,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,1457.9,,,,,,,,,,,,not_reviewed
22,3539275,CONTRADA GUERRIERI SERRA,131,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2477534,39.011431,local_anncsu_anchor,16.3041626,38.9828162,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,5821.3,,,,,,,,,,,,not_reviewed
23,3529063,VIA UMBERTO I,8,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2477019,38.9227386,local_anncsu_anchor,16.2838253,38.9660319,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,5738.8,,,,,,,,,,,,not_reviewed
24,3525975,CONTRADA VALLE RICCIARDI INFERIORE,40,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3194083,38.9751664,local_anncsu_anchor,16.2399503,39.0053859,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,7645.3,,,,,,,,,,,,not_reviewed
25,3522563,VIA ALBERT EINSTEIN,1,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3277317,38.9578573,local_anncsu_anchor,16.3184014,38.9718406,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,1751.7,,,,,,,,,,,,not_reviewed
26,3517629,VIA CASTEL FIDARDO,7,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2990412,38.9463393,local_anncsu_anchor,16.3177584,38.9758179,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,3655.6,,,,,,,,,,,,not_reviewed
27,3531953,VIA ANTONIO DE CURTIS,1,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3114486,38.9602113,local_anncsu_anchor,16.3467277,38.9835518,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4004.7,,,,,,,,,,,,not_reviewed
28,3537740,VIA MONTELLO,1,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2527906,38.9204465,local_anncsu_anchor,16.3002822,38.96423,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,6369.6,,,,,,,,,,,,not_reviewed
