review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,recovery_action,source_lon,source_lat,local_candidate_status,local_candidate_method,local_candidate_confidence,local_candidate_lon,local_candidate_lat,local_distance_from_source_m,local_anchor_count,local_candidate_explanation,geocode_candidate_status,geocode_provider,geocode_provider_confidence,geocode_query_variant,geocode_candidate_has_house_number,geocode_lon,geocode_lat,geocode_distance_from_source_m,geocode_display_name,local_geocode_distance_m,evidence_agreement,recommended_review_track,recommended_candidate_source,review_candidate_lon,review_candidate_lat,decision_readiness,suggested_workbench_filter,reviewer_instruction,notes
11,3562717,VIA STATTI VIGNOLA,31,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3227753,38.979608,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3228291,38.9731513,718.0,38,1 same-street anchor(s) share civic number 31.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3228291,38.9731513,manual_review_ready,access_id:3562717,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
12,3537393,VIA TIMAVO,13,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3181308,38.9739601,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3209243,38.9677332,733.3,36,2 same-street anchor(s) share civic number 13.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3209243,38.9677332,manual_review_ready,access_id:3537393,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
13,3524034,VIA DELLE ROSE,29,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2840951,38.957373,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2824492,38.9681481,1206.6,34,1 same-street anchor(s) share civic number 29.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2824492,38.9681481,manual_review_ready,access_id:3524034,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
14,3565191,VIA GIOVANNI VENTITREESIMO,22,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2833685,38.9650263,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2512812,38.9209753,5629.7,33,1 same-street anchor(s) share civic number 22.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2512812,38.9209753,manual_review_ready,access_id:3565191,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
15,3530601,CONTRADA CROZZANO SUPERIORE,95,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2477534,39.011431,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2827353,38.9894781,3885.5,30,1 same-street anchor(s) share civic number 95.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2827353,38.9894781,manual_review_ready,access_id:3530601,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
16,3527420,VIA BENEVENTO,1,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.323683,38.9797647,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3194304,38.9608928,2130.4,27,2 same-street anchor(s) share civic number 1.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3194304,38.9608928,manual_review_ready,access_id:3527420,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
17,3527426,VIA BENEVENTO,1,C,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2864423,38.959954,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3194304,38.9608928,2854.2,27,2 same-street anchor(s) share civic number 1.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3194304,38.9608928,manual_review_ready,access_id:3527426,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
18,3513809,VIA FRANCESCO COSTABILE,12,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2870397,38.9655834,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2797234,38.9651556,634.3,25,1 same-street anchor(s) share civic number 12.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2797234,38.9651556,manual_review_ready,access_id:3513809,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
19,3523735,CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3245016,38.9828973,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2827535,38.9877062,3647.8,22,1 same-street anchor(s) share civic number 63.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2827535,38.9877062,manual_review_ready,access_id:3523735,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
20,3523736,CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3312092,38.9711303,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2828539,38.9877038,4568.1,22,1 same-street anchor(s) share civic number 16.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2828539,38.9877038,manual_review_ready,access_id:3523736,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
21,3602867,TRAVERSA PRIMA DI VIA GIORGIO AMENDOLA,7,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3112171,38.9586074,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3178332,38.9706673,1457.9,21,7 same-street anchor(s) share civic number 7.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3178332,38.9706673,manual_review_ready,access_id:3602867,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
22,3539275,CONTRADA GUERRIERI SERRA,131,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2477534,39.011431,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3041626,38.9828162,5821.3,20,1 same-street anchor(s) share civic number 131.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3041626,38.9828162,manual_review_ready,access_id:3539275,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
23,3529063,VIA UMBERTO I,8,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2477019,38.9227386,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2838253,38.9660319,5738.8,19,1 same-street anchor(s) share civic number 8.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2838253,38.9660319,manual_review_ready,access_id:3529063,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
24,3525975,CONTRADA VALLE RICCIARDI INFERIORE,40,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3194083,38.9751664,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2399503,39.0053859,7645.3,15,1 same-street anchor(s) share civic number 40.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2399503,39.0053859,manual_review_ready,access_id:3525975,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
25,3522563,VIA ALBERT EINSTEIN,1,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3277317,38.9578573,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3184014,38.9718406,1751.7,11,6 same-street anchor(s) share civic number 1.,candidate_requires_human_review,nominatim,low_street_level,exact_civic,false,16.2929582,38.9667021,3163.3,"Via Albert Einstein, Sambiase, Gabella, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",2272.6,local_geocoder_conflict_over_500m,review_medium_local_anchor,local_anncsu_anchor,16.3184014,38.9718406,manual_review_ready,access_id:3522563,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
26,3517629,VIA CASTEL FIDARDO,7,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2990412,38.9463393,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3177584,38.9758179,3655.6,8,1 same-street anchor(s) share civic number 7.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3177584,38.9758179,manual_review_ready,access_id:3517629,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
27,3531953,VIA ANTONIO DE CURTIS,1,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3114486,38.9602113,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3467277,38.9835518,4004.7,8,4 same-street anchor(s) share civic number 1.,candidate_requires_human_review,nominatim,low_street_level,exact_civic,false,16.3107997,38.9599274,64.4,"Via Antonio De Curtis, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",4067.9,local_geocoder_conflict_over_500m,review_medium_local_anchor,local_anncsu_anchor,16.3467277,38.9835518,manual_review_ready,access_id:3531953,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
28,3537740,VIA MONTELLO,1,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2527906,38.9204465,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3002822,38.96423,6369.6,7,2 same-street anchor(s) share civic number 1.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3002822,38.96423,manual_review_ready,access_id:3537740,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
