layer,access_id,source_odonimo,source_civico,source_esponente,source_lon,source_lat,geojson_odonimo,geojson_civico,geojson_esponente,geojson_lon,geojson_lat,label_shown_by_workbench,status
review_points.geojson,3511380,VIA FERRUCCIO,6,,"16,3156226","38,9761535",VIA FERRUCCIO,6,,16.3156226,38.9761535,ANNCSU: VIA FERRUCCIO 6,ok
review_points.geojson,3511381,VIA FERRUCCIO,75,,"16,2812011","38,9648469",VIA FERRUCCIO,75,,16.2812011,38.9648469,ANNCSU: VIA FERRUCCIO 75,ok
review_points.geojson,3511382,VIA FERRUCCIO,78,,"16,2812513","38,9643833",VIA FERRUCCIO,78,,16.2812513,38.9643833,ANNCSU: VIA FERRUCCIO 78,ok
review_points.geojson,3511383,VIA FERRUCCIO,96,,"16,3202214","38,9745933",VIA FERRUCCIO,96,,16.3202214,38.9745933,ANNCSU: VIA FERRUCCIO 96,ok
review_points.geojson,3511384,VIA FERRUCCIO,98,,"16,3201016","38,9746605",VIA FERRUCCIO,98,,16.3201016,38.9746605,ANNCSU: VIA FERRUCCIO 98,ok
review_points.geojson,3511385,VIA FERRUCCIO,1,,"16,2823383","38,9685093",VIA FERRUCCIO,1,,16.2823383,38.9685093,ANNCSU: VIA FERRUCCIO 1,ok
review_points.geojson,3511386,VIA FERRUCCIO,100,,"16,320212","38,974607",VIA FERRUCCIO,100,,16.3202120,38.9746070,ANNCSU: VIA FERRUCCIO 100,ok
review_points.geojson,3511387,VIA FERRUCCIO,110,,"16,3200111","38,9745647",VIA FERRUCCIO,110,,16.3200111,38.9745647,ANNCSU: VIA FERRUCCIO 110,ok
review_points.geojson,3511388,VIA FERRUCCIO,118,,"16,3200361","38,9744578",VIA FERRUCCIO,118,,16.3200361,38.9744578,ANNCSU: VIA FERRUCCIO 118,ok
review_points.geojson,3511389,VIA FERRUCCIO,124,,"16,320023","38,9744",VIA FERRUCCIO,124,,16.3200230,38.9744000,ANNCSU: VIA FERRUCCIO 124,ok
review_points.geojson,3511393,VIA FERRUCCIO,3,,"16,2823914","38,9687342",VIA FERRUCCIO,3,,16.2823914,38.9687342,ANNCSU: VIA FERRUCCIO 3,ok
review_points.geojson,3511395,VIA FERRUCCIO,35,,"16,3062939","38,9684449",VIA FERRUCCIO,35,,16.3062939,38.9684449,ANNCSU: VIA FERRUCCIO 35,ok
review_points.geojson,3511398,VIA FERRUCCIO,45,,"16,282276","38,9692492",VIA FERRUCCIO,45,,16.2822760,38.9692492,ANNCSU: VIA FERRUCCIO 45,ok
review_points.geojson,3511399,VIA FERRUCCIO,49,,"16,2822032","38,9693621",VIA FERRUCCIO,49,,16.2822032,38.9693621,ANNCSU: VIA FERRUCCIO 49,ok
review_points.geojson,3511400,VIA FERRUCCIO,5,,"16,2824049","38,9687166",VIA FERRUCCIO,5,,16.2824049,38.9687166,ANNCSU: VIA FERRUCCIO 5,ok
review_points.geojson,3511402,VIA FERRUCCIO,8,,"16,3155926","38,9761676",VIA FERRUCCIO,8,,16.3155926,38.9761676,ANNCSU: VIA FERRUCCIO 8,ok
review_points.geojson,3511403,VIA FERRUCCIO,85,,"16,3203572","38,9748211",VIA FERRUCCIO,85,,16.3203572,38.9748211,ANNCSU: VIA FERRUCCIO 85,ok
review_points.geojson,3511404,VIA FERRUCCIO,86,,"16,320268","38,974793",VIA FERRUCCIO,86,,16.3202680,38.9747930,ANNCSU: VIA FERRUCCIO 86,ok
review_points.geojson,3511405,VIA FERRUCCIO,88,,"16,3204187","38,9748082",VIA FERRUCCIO,88,,16.3204187,38.9748082,ANNCSU: VIA FERRUCCIO 88,ok
review_points.geojson,3511406,VIA FERRUCCIO,89,,"16,3202841","38,974632",VIA FERRUCCIO,89,,16.3202841,38.9746320,ANNCSU: VIA FERRUCCIO 89,ok
review_points.geojson,3511407,VIA FERRUCCIO,9,,"16,3154044","38,9761966",VIA FERRUCCIO,9,,16.3154044,38.9761966,ANNCSU: VIA FERRUCCIO 9,ok
review_points.geojson,3511408,VIA FERRUCCIO,92,,"16,3202023","38,9747159",VIA FERRUCCIO,92,,16.3202023,38.9747159,ANNCSU: VIA FERRUCCIO 92,ok
review_points.geojson,3511409,VIA FERRUCCIO,94,,"16,3202628","38,9746432",VIA FERRUCCIO,94,,16.3202628,38.9746432,ANNCSU: VIA FERRUCCIO 94,ok
review_points.geojson,3511410,VIA FERRUCCIO,104,A,"16,3202066","38,9745554",VIA FERRUCCIO,104,A,16.3202066,38.9745554,ANNCSU: VIA FERRUCCIO 104/A,ok
review_points.geojson,3511411,VIA FERRUCCIO,104,,"16,3201012","38,9746159",VIA FERRUCCIO,104,,16.3201012,38.9746159,ANNCSU: VIA FERRUCCIO 104,ok
review_points.geojson,3511414,VIA FERRUCCIO,108,,"16,3200754","38,974589",VIA FERRUCCIO,108,,16.3200754,38.9745890,ANNCSU: VIA FERRUCCIO 108,ok
review_points.geojson,3511415,VIA FERRUCCIO,114,,"16,3200625","38,9745755",VIA FERRUCCIO,114,,16.3200625,38.9745755,ANNCSU: VIA FERRUCCIO 114,ok
review_points.geojson,3511418,VIA FERRUCCIO,116,,"16,3200677","38,9745239",VIA FERRUCCIO,116,,16.3200677,38.9745239,ANNCSU: VIA FERRUCCIO 116,ok
review_points.geojson,3511427,VIA FERRUCCIO,25,,"16,2823932","38,9688095",VIA FERRUCCIO,25,,16.2823932,38.9688095,ANNCSU: VIA FERRUCCIO 25,ok
review_points.geojson,3511430,VIA FERRUCCIO,37,,"16,3063493","38,9684985",VIA FERRUCCIO,37,,16.3063493,38.9684985,ANNCSU: VIA FERRUCCIO 37,ok
review_points.geojson,3511438,VIA FERRUCCIO,4,,"16,2824522","38,9684673",VIA FERRUCCIO,4,,16.2824522,38.9684673,ANNCSU: VIA FERRUCCIO 4,ok
review_points.geojson,3511440,VIA FERRUCCIO,43,,"16,2823848","38,9692487",VIA FERRUCCIO,43,,16.2823848,38.9692487,ANNCSU: VIA FERRUCCIO 43,ok
review_points.geojson,3511445,VIA FERRUCCIO,47,,"16,2822592","38,969252",VIA FERRUCCIO,47,,16.2822592,38.9692520,ANNCSU: VIA FERRUCCIO 47,ok
review_points.geojson,3511465,VIA FERRUCCIO,70,,"16,2814314","38,9641934",VIA FERRUCCIO,70,,16.2814314,38.9641934,ANNCSU: VIA FERRUCCIO 70,ok
review_points.geojson,3511469,VIA SENATORE ARTURO PERUGINI,1,A,"16,3040914","38,959301",VIA SENATORE ARTURO PERUGINI,1,A,16.3040914,38.9593010,ANNCSU: VIA SENATORE ARTURO PERUGINI 1/A,ok
review_points.geojson,3511470,VIA SENATORE ARTURO PERUGINI,1,C,"16,3040976","38,9592842",VIA SENATORE ARTURO PERUGINI,1,C,16.3040976,38.9592842,ANNCSU: VIA SENATORE ARTURO PERUGINI 1/C,ok
review_points.geojson,3511471,VIA SENATORE ARTURO PERUGINI,1,,"16,3041604","38,9594108",VIA SENATORE ARTURO PERUGINI,1,,16.3041604,38.9594108,ANNCSU: VIA SENATORE ARTURO PERUGINI 1,ok
review_points.geojson,3511553,VIA CAVALLERIZZA,10,,"16,2915879","38,9381367",VIA CAVALLERIZZA,10,,16.2915879,38.9381367,ANNCSU: VIA CAVALLERIZZA 10,ok
review_points.geojson,3511554,VIA CAVALLERIZZA,13,,"16,2901136","38,9379953",VIA CAVALLERIZZA,13,,16.2901136,38.9379953,ANNCSU: VIA CAVALLERIZZA 13,ok
review_points.geojson,3511555,VIA CAVALLERIZZA,2,,"16,2912329","38,9393408",VIA CAVALLERIZZA,2,,16.2912329,38.9393408,ANNCSU: VIA CAVALLERIZZA 2,ok
review_points.geojson,3511556,VIA CAVALLERIZZA,6,,"16,2918311","38,9388498",VIA CAVALLERIZZA,6,,16.2918311,38.9388498,ANNCSU: VIA CAVALLERIZZA 6,ok
review_points.geojson,3511557,VIA CAVALLERIZZA,2,B,"16,2922122","38,9390734",VIA CAVALLERIZZA,2,B,16.2922122,38.9390734,ANNCSU: VIA CAVALLERIZZA 2/B,ok
review_points.geojson,3511558,VIA CAVALLERIZZA,1,,"16,2894647","38,9353764",VIA CAVALLERIZZA,1,,16.2894647,38.9353764,ANNCSU: VIA CAVALLERIZZA 1,ok
review_points.geojson,3511560,VIA CAVALLERIZZA,11,,"16,2913628","38,9379735",VIA CAVALLERIZZA,11,,16.2913628,38.9379735,ANNCSU: VIA CAVALLERIZZA 11,ok
review_points.geojson,3511561,VIA CAVALLERIZZA,3,,"16,3169699","38,9709219",VIA CAVALLERIZZA,3,,16.3169699,38.9709219,ANNCSU: VIA CAVALLERIZZA 3,ok
review_points.geojson,3511562,VIA CAVALLERIZZA,4,,"16,3166923","38,9706538",VIA CAVALLERIZZA,4,,16.3166923,38.9706538,ANNCSU: VIA CAVALLERIZZA 4,ok
review_points.geojson,3511563,VIA CAVALLERIZZA,5,,"16,3169909","38,9707553",VIA CAVALLERIZZA,5,,16.3169909,38.9707553,ANNCSU: VIA CAVALLERIZZA 5,ok
review_points.geojson,3511564,VIA CAVALLERIZZA,7,,"16,2919006","38,9386957",VIA CAVALLERIZZA,7,,16.2919006,38.9386957,ANNCSU: VIA CAVALLERIZZA 7,ok
review_points.geojson,3511565,VIA CAVALLERIZZA,8,,"16,2916933","38,9387338",VIA CAVALLERIZZA,8,,16.2916933,38.9387338,ANNCSU: VIA CAVALLERIZZA 8,ok
review_points.geojson,3511566,VIA CAVALLERIZZA,9,,"16,291597","38,9381562",VIA CAVALLERIZZA,9,,16.2915970,38.9381562,ANNCSU: VIA CAVALLERIZZA 9,ok
review_points.geojson,3511568,VIA CAVOUR,13,,"16,3143511","38,9578915",VIA CAVOUR,13,,16.3143511,38.9578915,ANNCSU: VIA CAVOUR 13,ok
review_points.geojson,3511569,VIA CAVOUR,15,,"16,280271","38,9690659",VIA CAVOUR,15,,16.2802710,38.9690659,ANNCSU: VIA CAVOUR 15,ok
review_points.geojson,3511570,VIA CAVOUR,17,,"16,3148191","38,9572575",VIA CAVOUR,17,,16.3148191,38.9572575,ANNCSU: VIA CAVOUR 17,ok
review_points.geojson,3511571,VIA CAVOUR,23,,"16,3143689","38,9563312",VIA CAVOUR,23,,16.3143689,38.9563312,ANNCSU: VIA CAVOUR 23,ok
review_points.geojson,3511572,VIA CAVOUR,25,,"16,3150221","38,9559695",VIA CAVOUR,25,,16.3150221,38.9559695,ANNCSU: VIA CAVOUR 25,ok
review_points.geojson,3511573,VIA CAVOUR,3,,"16,2883314","38,9370753",VIA CAVOUR,3,,16.2883314,38.9370753,ANNCSU: VIA CAVOUR 3,ok
review_points.geojson,3511574,VIA CAVOUR,4,,"16,2898283","38,9363645",VIA CAVOUR,4,,16.2898283,38.9363645,ANNCSU: VIA CAVOUR 4,ok
review_points.geojson,3511577,VIA CAVOUR,5,,"16,3140455","38,9579432",VIA CAVOUR,5,,16.3140455,38.9579432,ANNCSU: VIA CAVOUR 5,ok
review_points.geojson,3511579,VIA CAVOUR,51,,"16,3149873","38,95324",VIA CAVOUR,51,,16.3149873,38.9532400,ANNCSU: VIA CAVOUR 51,ok
review_points.geojson,3511581,VIA CAVOUR,57,,"16,3155766","38,9530038",VIA CAVOUR,57,,16.3155766,38.9530038,ANNCSU: VIA CAVOUR 57,ok
review_points.geojson,3511582,VIA CAVOUR,58,,"16,3152235","38,9528829",VIA CAVOUR,58,,16.3152235,38.9528829,ANNCSU: VIA CAVOUR 58,ok
review_points.geojson,3511583,VIA CAVOUR,6,,"16,314117","38,9577223",VIA CAVOUR,6,,16.3141170,38.9577223,ANNCSU: VIA CAVOUR 6,ok
review_points.geojson,3511584,VIA CAVOUR,7,,"16,3143399","38,9581988",VIA CAVOUR,7,,16.3143399,38.9581988,ANNCSU: VIA CAVOUR 7,ok
review_points.geojson,3511585,VIA CAVOUR,8,,"16,3149257","38,9581983",VIA CAVOUR,8,,16.3149257,38.9581983,ANNCSU: VIA CAVOUR 8,ok
review_points.geojson,3511586,VIA CAVOUR,9,,"16,2803685","38,9690527",VIA CAVOUR,9,,16.2803685,38.9690527,ANNCSU: VIA CAVOUR 9,ok
review_points.geojson,3511587,VIA CAVOUR,1,,"16,2905889","38,9371106",VIA CAVOUR,1,,16.2905889,38.9371106,ANNCSU: VIA CAVOUR 1,ok
review_points.geojson,3511589,VIA CAVOUR,106,,"16,3146777","38,9528838",VIA CAVOUR,106,,16.3146777,38.9528838,ANNCSU: VIA CAVOUR 106,ok
review_points.geojson,3511590,VIA CAVOUR,11,,"16,314363","38,9578199",VIA CAVOUR,11,,16.3143630,38.9578199,ANNCSU: VIA CAVOUR 11,ok
review_points.geojson,3511591,VIA CAVOUR,16,,"16,2804957","38,9690821",VIA CAVOUR,16,,16.2804957,38.9690821,ANNCSU: VIA CAVOUR 16,ok
review_points.geojson,3511592,VIA CAVOUR,24,,"16,3147367","38,9570296",VIA CAVOUR,24,,16.3147367,38.9570296,ANNCSU: VIA CAVOUR 24,ok
