access_id,odonimo_raw,civico,esponente,coordinate_quality_flag,raw_found,extract_found,processed_found,raw_coord_x,raw_coord_y,extract_coord_x,extract_coord_y,processed_coord_x,processed_coord_y,raw_extract_coordinate_match,extract_processed_coordinate_match,raw_extract_address_match,extract_processed_address_match,same_exact_coordinate_group_size,same_exact_coordinate_distinct_streets,same_exact_coordinate_streets_sample,source_diagnosis,recovery_action
3514824,CONTRADA AGLI,18,,outside_boundary,true,true,true,"16,3030348","38,9905196","16,3030348","38,9905196","16,3030348","38,9905196",true,true,true,true,2,2,CONTRADA AGLI; CONTRADA ANNUNZIATA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3526015,CONTRADA ANNUNZIATA,105,,outside_boundary,true,true,true,"16,3030348","38,9905196","16,3030348","38,9905196","16,3030348","38,9905196",true,true,true,true,2,2,CONTRADA AGLI; CONTRADA ANNUNZIATA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530569,CONTRADA CARIA,399,,outside_boundary,true,true,true,"16,2694107","39,0114007","16,2694107","39,0114007","16,2694107","39,0114007",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530575,CONTRADA CARIA,454,,outside_boundary,true,true,true,"16,2694688","39,0114865","16,2694688","39,0114865","16,2694688","39,0114865",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530570,CONTRADA CARIA,458,,outside_boundary,true,true,true,"16,2693914","39,011439","16,2693914","39,011439","16,2693914","39,011439",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530576,CONTRADA CARIA,459,,outside_boundary,true,true,true,"16,2693627","39,0113623","16,2693627","39,0113623","16,2693627","39,0113623",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530579,CONTRADA CARIA,461,,outside_boundary,true,true,true,"16,2694732","39,0113295","16,2694732","39,0113295","16,2694732","39,0113295",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530577,CONTRADA CARIA,469,,outside_boundary,true,true,true,"16,269475","39,0114526","16,269475","39,0114526","16,269475","39,0114526",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530578,CONTRADA CARIA,473,,outside_boundary,true,true,true,"16,2693473","39,0114624","16,2693473","39,0114624","16,2693473","39,0114624",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530580,CONTRADA CARIA,484,,outside_boundary,true,true,true,"16,2695014","39,011292","16,2695014","39,011292","16,2695014","39,011292",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530571,CONTRADA CARIA,498,,outside_boundary,true,true,true,"16,2693906","39,0113626","16,2693906","39,0113626","16,2693906","39,0113626",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530581,CONTRADA CARIA,501,,outside_boundary,true,true,true,"16,269448","39,0114854","16,269448","39,0114854","16,269448","39,0114854",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530572,CONTRADA CARIA,512,,outside_boundary,true,true,true,"16,2695206","39,0114536","16,2695206","39,0114536","16,2695206","39,0114536",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530573,CONTRADA CARIA,518,,outside_boundary,true,true,true,"16,2694199","39,0114106","16,2694199","39,0114106","16,2694199","39,0114106",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3530574,CONTRADA CARIA,93,,outside_boundary,true,true,true,"16,2694076","39,0114326","16,2694076","39,0114326","16,2694076","39,0114326",true,true,true,true,1,1,CONTRADA CARIA,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed
3527350,CONTRADA ACQUADAUZANO,72,,same_street_outlier,true,true,true,"16,270801","38,9968413","16,270801","38,9968413","16,270801","38,9968413",true,true,true,true,1,1,CONTRADA ACQUADAUZANO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3514822,CONTRADA AGLI,60,,same_street_outlier,true,true,true,"16,3063895","38,9837248","16,3063895","38,9837248","16,3063895","38,9837248",true,true,true,true,2,2,CONTRADA AGLI; CONTRADA ANNUNZIATA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3525993,CONTRADA ANNUNZIATA,23,,same_street_outlier,true,true,true,"16,2728997","38,9692101","16,2728997","38,9692101","16,2728997","38,9692101",true,true,true,true,2,2,CONTRADA ANNUNZIATA; CONTRADA ANZARO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3526021,CONTRADA ANNUNZIATA,77,,same_street_outlier,true,true,true,"16,2531719","38,9245916","16,2531719","38,9245916","16,2531719","38,9245916",true,true,true,true,2,2,CONTRADA ANNUNZIATA; CONTRADA BOSCO AMATELLO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3526022,CONTRADA ANNUNZIATA,79,,same_street_outlier,true,true,true,"16,3165232","38,9680609","16,3165232","38,9680609","16,3165232","38,9680609",true,true,true,true,2,2,CONTRADA ANNUNZIATA; CONTRADA BOSCO FRANCICA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
