review_rank,review_batch_id,review_priority_band,candidate_review_status,access_id,street,civico,esponente,coordinate_quality_flag,coordinate_suspect_reason,source_lon,source_lat,candidate_lon,candidate_lat,candidate_method,candidate_confidence,candidate_status,distance_from_source_m,anchor_count,numeric_anchor_count,nearest_anchor_distance_m,lower_anchor_access_id,lower_anchor_civic,upper_anchor_access_id,upper_anchor_civic,nearest_anchor_access_id,nearest_anchor_civic,external_geocoder_candidate_count,candidate_explanation,suggested_workbench_filter,recommended_review_action,notes
13,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3524034,VIA DELLE ROSE,29,,same_street_outlier,nearest same-street civic is 792.6 m away; progressive civic-number neighbour is 1168.8 m away,16.2840951,38.957373,16.2824492,38.9681481,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,1206.6,34,34,793.5,,,,,3524029,11,0,1 same-street anchor(s) share civic number 29.,access_id:3524034,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
14,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3565191,VIA GIOVANNI VENTITREESIMO,22,A,same_street_outlier,progressive civic-number neighbour is 3421.9 m away,16.2833685,38.9650263,16.2512812,38.9209753,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,5629.7,33,33,3322.3,,,,,3565169,18,0,1 same-street anchor(s) share civic number 22.,access_id:3565191,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
15,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3530601,CONTRADA CROZZANO SUPERIORE,95,,same_street_outlier,progressive civic-number neighbour is 3830.2 m away,16.2477534,39.011431,16.2827353,38.9894781,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,3885.5,30,30,3827.1,,,,,3530597,166,0,1 same-street anchor(s) share civic number 95.,access_id:3530601,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
16,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3527420,VIA BENEVENTO,1,,same_street_outlier,nearest same-street civic is 2126.2 m away; progressive civic-number neighbour is 2127.2 m away,16.323683,38.9797647,16.3194304,38.9608928,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,2130.4,27,27,2129.9,,,,,3527425,1,0,2 same-street anchor(s) share civic number 1.,access_id:3527420,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
17,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3527426,VIA BENEVENTO,1,C,same_street_outlier,nearest same-street civic is 502.7 m away; progressive civic-number neighbour is 502.7 m away,16.2864423,38.959954,16.3194304,38.9608928,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,2854.2,27,27,503.7,,,,,3527418,2,0,2 same-street anchor(s) share civic number 1.,access_id:3527426,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
18,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3513809,VIA FRANCESCO COSTABILE,12,,same_street_outlier,progressive civic-number neighbour is 635.7 m away,16.2870397,38.9655834,16.2797234,38.9651556,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,634.3,25,25,252.9,,,,,3513820,1,0,1 same-street anchor(s) share civic number 12.,access_id:3513809,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
19,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3523735,CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,3326.2 m from same-street cluster centroid; nearest same-street civic is 1429.5 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 3655.5 m away,16.3245016,38.9828973,16.2827535,38.9877062,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,3647.8,22,22,3633.3,,,,,3523719,22,0,1 same-street anchor(s) share civic number 63.,access_id:3523735,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
20,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3523736,CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,4264.0 m from same-street cluster centroid; nearest same-street civic is 1429.5 m away; rare census-cell placement for same-street civics; point is near validated ANNCSU civics labelled CONTRADA GACCIA (22 of nearby context within 120 m); progressive civic-number neighbour is 4568.2 m away,16.3312092,38.9711303,16.2828539,38.9877038,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,4568.1,22,22,4561.1,,,,,3523719,22,0,1 same-street anchor(s) share civic number 16.,access_id:3523736,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
21,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3602867,TRAVERSA PRIMA DI VIA GIORGIO AMENDOLA,7,,same_street_outlier,nearest same-street civic is 1434.0 m away; progressive civic-number neighbour is 1454.9 m away,16.3112171,38.9586074,16.3178332,38.9706673,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,1457.9,21,21,1435.8,,,,,3602864,7,0,7 same-street anchor(s) share civic number 7.,access_id:3602867,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
22,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3539275,CONTRADA GUERRIERI SERRA,131,A,same_street_outlier,progressive civic-number neighbour is 5825.5 m away,16.2477534,39.011431,16.3041626,38.9828162,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,5821.3,20,20,5817.0,,,,,3539285,85,0,1 same-street anchor(s) share civic number 131.,access_id:3539275,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
23,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3529063,VIA UMBERTO I,8,A,same_street_outlier,nearest same-street civic is 739.3 m away; progressive civic-number neighbour is 5717.0 m away,16.2477019,38.9227386,16.2838253,38.9660319,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,5738.8,19,19,739.7,,,,,3529045,11,0,1 same-street anchor(s) share civic number 8.,access_id:3529063,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
24,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3525975,CONTRADA VALLE RICCIARDI INFERIORE,40,A,same_street_outlier,7126.4 m from same-street cluster centroid; nearest same-street civic is 7508.6 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 7511.0 m away,16.3194083,38.9751664,16.2399503,39.0053859,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,7645.3,15,15,7498.1,,,,,3525968,42,0,1 same-street anchor(s) share civic number 40.,access_id:3525975,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
