review_rank,access_id,address_label,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,candidate_lon,candidate_lat,candidate_source,candidate_method,candidate_confidence,movement_from_source_m,evidence_agreement,review_track,workbench_filter,worksheet_reviewer_action,review_status,required_reviewer_fields,acceptance_rule,post_review_command
11,3562717,VIA STATTI VIGNOLA 31 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3227753,38.979608,16.3228291,38.9731513,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,718.0,local_anchor_only,review_medium_local_anchor,access_id:3562717,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
12,3537393,VIA TIMAVO 13 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3181308,38.9739601,16.3209243,38.9677332,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,733.3,local_anchor_only,review_medium_local_anchor,access_id:3537393,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
13,3524034,VIA DELLE ROSE 29,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2840951,38.957373,16.2824492,38.9681481,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,1206.6,local_anchor_only,review_medium_local_anchor,access_id:3524034,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
14,3565191,VIA GIOVANNI VENTITREESIMO 22 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2833685,38.9650263,16.2512812,38.9209753,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,5629.7,local_anchor_only,review_medium_local_anchor,access_id:3565191,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
15,3530601,CONTRADA CROZZANO SUPERIORE 95,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2477534,39.011431,16.2827353,38.9894781,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,3885.5,local_anchor_only,review_medium_local_anchor,access_id:3530601,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
16,3527420,VIA BENEVENTO 1,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.323683,38.9797647,16.3194304,38.9608928,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,2130.4,local_anchor_only,review_medium_local_anchor,access_id:3527420,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
17,3527426,VIA BENEVENTO 1 C,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2864423,38.959954,16.3194304,38.9608928,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,2854.2,local_anchor_only,review_medium_local_anchor,access_id:3527426,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
18,3513809,VIA FRANCESCO COSTABILE 12,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2870397,38.9655834,16.2797234,38.9651556,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,634.3,local_anchor_only,review_medium_local_anchor,access_id:3513809,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
19,3523735,CONTRADA CROZZANO INFERIORE 63 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3245016,38.9828973,16.2827535,38.9877062,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,3647.8,local_anchor_only,review_medium_local_anchor,access_id:3523735,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
20,3523736,CONTRADA CROZZANO INFERIORE 16 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3312092,38.9711303,16.2828539,38.9877038,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,4568.1,local_anchor_only,review_medium_local_anchor,access_id:3523736,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
21,3602867,TRAVERSA PRIMA DI VIA GIORGIO AMENDOLA 7,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3112171,38.9586074,16.3178332,38.9706673,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,1457.9,local_anchor_only,review_medium_local_anchor,access_id:3602867,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
