access_id,provider,query,query_variant,candidate_rank,candidate_lon,candidate_lat,candidate_display_name,candidate_class,candidate_type,candidate_importance,candidate_place_rank,candidate_has_house_number,within_lamezia_bbox,distance_from_source_m,provider_confidence,candidate_status,provider_license,cache_key
3596282,nominatim,"VIA ANDREA CEFALY SENIOR 11, Lamezia Terme, Calabria, Italia",all_variants,,,,,,,,,,,,,no_candidate_returned,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,465cca0181b68f8406e06327157d3d5b207bdd422a7f82557263dbf0f0e25346
3529343,nominatim,"VIA ANTONELLO DA MESSINA 31, Lamezia Terme, Calabria, Italia",exact_civic,1,16.2827146,38.9525233,"Via Antonello da Messina, Sambiase, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,residential,0.05339369878690772,26,false,true,301.6,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,7acc06481c960fda90453e5fc3cb55a0ebd21172bb756b03e53bf09bd0a0fc12
3529347,nominatim,"VIA ANTONELLO DA MESSINA 54, Lamezia Terme, Calabria, Italia",exact_civic,1,16.2831627,38.9549091,"Via Antonello da Messina, Sambiase, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,residential,0.05339369878690772,26,false,true,5442.7,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,9f8f0d8138b399430862f6d8c85ef8399be040e3f862da55bd54309b6d34b6dc
3520617,nominatim,"VIA ANTONIO CAPPELLI 192, Lamezia Terme, Calabria, Italia",exact_civic,1,16.2460489,38.9502184,"Via Antonio Cappelli, Sant'Eufemia Vetere, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,secondary,0.05339369878690772,26,false,true,4298.3,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,876a7b6bf20372fd98c3bc939222e17c035e0faafc6b4241e90639feec9479be
3520617,nominatim,"VIA ANTONIO CAPPELLI 192, Lamezia Terme, Calabria, Italia",exact_civic,2,16.2265320,38.9328342,"Via Antonio Cappelli, Marinella, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,secondary,0.05339369878690772,26,false,true,1992.4,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,876a7b6bf20372fd98c3bc939222e17c035e0faafc6b4241e90639feec9479be
3520622,nominatim,"VIA ANTONIO CAPPELLI 26, Lamezia Terme, Calabria, Italia",exact_civic,1,16.2460489,38.9502184,"Via Antonio Cappelli, Sant'Eufemia Vetere, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,secondary,0.05339369878690772,26,false,true,130.6,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,bafff61a481c0f47c347f28e06ff82c7b6d08eacb14bcf8baa762ba703ddf7ca
3520622,nominatim,"VIA ANTONIO CAPPELLI 26, Lamezia Terme, Calabria, Italia",exact_civic,2,16.2265320,38.9328342,"Via Antonio Cappelli, Marinella, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,secondary,0.05339369878690772,26,false,true,2696.5,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,bafff61a481c0f47c347f28e06ff82c7b6d08eacb14bcf8baa762ba703ddf7ca
3522739,nominatim,"VIA ANTONIO CAPPELLI 61, Lamezia Terme, Calabria, Italia",exact_civic,1,16.2460489,38.9502184,"Via Antonio Cappelli, Sant'Eufemia Vetere, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,secondary,0.05339369878690772,26,false,true,429.2,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,e0457e77745da9b251c0663bdd4d4e767f1cacc9d45b76d9d7f78c0a0f109622
3522739,nominatim,"VIA ANTONIO CAPPELLI 61, Lamezia Terme, Calabria, Italia",exact_civic,2,16.2265320,38.9328342,"Via Antonio Cappelli, Marinella, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,secondary,0.05339369878690772,26,false,true,2995.3,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,e0457e77745da9b251c0663bdd4d4e767f1cacc9d45b76d9d7f78c0a0f109622
3531953,nominatim,"VIA ANTONIO DE CURTIS 1/B, Lamezia Terme, Calabria, Italia",exact_civic,1,16.3107997,38.9599274,"Via Antonio De Curtis, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,unclassified,0.05339369878690772,26,false,true,64.4,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,0b3f659741e2fbb0b9acea98dae4130d7e55fd2ea34ba1fc74665bdb5c94e813
