mayor_candidate_id,election_id,round,candidate_name,normalised_candidate_name,coalition_label,source_doc_id,notes
comunali_lamezia_2025_mayor_lo_moro_doris,comunali_lamezia_2025,1,LO MORO DORIS,LO MORO DORIS,,maggioli_2025_totals_mayor_xml,maggioli_candidate_number=1
comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,comunali_lamezia_2025,1,BEVILACQUA GIANPAOLO,BEVILACQUA GIANPAOLO,,maggioli_2025_totals_mayor_xml,maggioli_candidate_number=2
comunali_lamezia_2025_mayor_murone_mario,comunali_lamezia_2025,1,MURONE MARIO,MURONE MARIO,,maggioli_2025_totals_mayor_xml,maggioli_candidate_number=3
