election_id,round,section_number,mayor_candidate_id,votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,13,comunali_lamezia_2025_mayor_lo_moro_doris,206,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,13,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,92,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,13,comunali_lamezia_2025_mayor_murone_mario,201,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,14,comunali_lamezia_2025_mayor_lo_moro_doris,196,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,14,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,115,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,14,comunali_lamezia_2025_mayor_murone_mario,145,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,15,comunali_lamezia_2025_mayor_lo_moro_doris,140,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,15,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,84,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,15,comunali_lamezia_2025_mayor_murone_mario,104,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,16,comunali_lamezia_2025_mayor_lo_moro_doris,110,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,16,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,81,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,16,comunali_lamezia_2025_mayor_murone_mario,134,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,17,comunali_lamezia_2025_mayor_lo_moro_doris,206,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,17,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,98,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,17,comunali_lamezia_2025_mayor_murone_mario,227,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,18,comunali_lamezia_2025_mayor_lo_moro_doris,165,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,18,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,105,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,18,comunali_lamezia_2025_mayor_murone_mario,164,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,19,comunali_lamezia_2025_mayor_lo_moro_doris,234,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,19,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,133,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,19,comunali_lamezia_2025_mayor_murone_mario,249,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,20,comunali_lamezia_2025_mayor_lo_moro_doris,147,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,20,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,110,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,20,comunali_lamezia_2025_mayor_murone_mario,168,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,21,comunali_lamezia_2025_mayor_lo_moro_doris,161,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,21,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,113,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,21,comunali_lamezia_2025_mayor_murone_mario,141,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,22,comunali_lamezia_2025_mayor_lo_moro_doris,178,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,22,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,90,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,22,comunali_lamezia_2025_mayor_murone_mario,165,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
comunali_lamezia_2025,1,23,comunali_lamezia_2025_mayor_lo_moro_doris,90,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=1
comunali_lamezia_2025,1,23,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,39,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=2
comunali_lamezia_2025,1,23,comunali_lamezia_2025_mayor_murone_mario,68,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,maggioli_candidate_number=3
