election_id,round,section_number,registered_voters,voters,valid_votes,blank_ballots,null_ballots,contested_ballots,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,49,595,287,283,1,3,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,50,795,543,540,0,3,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,51,596,238,236,0,2,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,52,1022,624,613,1,10,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,53,1154,699,686,2,11,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,54,864,543,532,2,9,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,55,924,622,602,2,18,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,56,729,278,273,2,3,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,57,681,288,282,1,5,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,58,917,542,526,2,14,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,59,847,578,566,2,10,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,60,1005,603,590,0,13,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,61,1063,701,642,1,58,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,62,1053,750,727,2,21,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,63,1107,770,733,3,34,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,64,815,568,561,2,5,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,65,1176,817,799,4,14,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,66,870,568,556,5,7,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,67,1060,687,669,1,17,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
