election_id,round,section_number,candidate_number,votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,18,3,164,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,19,1,234,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,19,2,133,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,19,3,249,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,20,1,147,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,20,2,110,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,20,3,168,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,21,1,161,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,21,2,113,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,21,3,141,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,22,1,178,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,22,2,90,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,22,3,165,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,23,1,90,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,23,2,39,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,23,3,68,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,24,1,159,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,24,2,175,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,24,3,267,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,25,1,160,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,25,2,83,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,25,3,103,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,26,1,104,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,26,2,82,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,26,3,82,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,27,1,120,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,27,2,108,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,27,3,109,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,28,1,115,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,28,2,86,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,28,3,165,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,29,1,165,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,29,2,165,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,29,3,269,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,30,1,149,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,30,2,91,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,30,3,263,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,31,1,130,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,31,2,132,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,31,3,226,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,32,1,166,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,32,2,66,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,32,3,400,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,33,1,109,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,33,2,42,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,33,3,190,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,34,1,56,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,34,2,35,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,34,3,177,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,35,1,105,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,35,2,91,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,35,3,362,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,36,1,87,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,36,2,53,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,36,3,243,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,37,1,157,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,37,2,95,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,37,3,318,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,38,1,77,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,38,2,60,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,38,3,213,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,39,1,116,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,39,2,76,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,39,3,210,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,40,1,114,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,40,2,50,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,40,3,224,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,41,1,180,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,41,2,140,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,41,3,371,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,42,1,84,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,42,2,40,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,42,3,176,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,43,1,95,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,43,2,52,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,43,3,214,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,44,1,33,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,44,2,75,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,44,3,233,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,45,1,54,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,45,2,17,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,45,3,84,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,46,1,29,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,46,2,10,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,46,3,146,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,47,1,6,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,47,2,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,47,3,49,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,48,1,22,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,48,2,5,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,48,3,30,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,49,1,86,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,49,2,36,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,49,3,161,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,50,1,134,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,50,2,70,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,50,3,336,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,51,1,79,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,51,2,11,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,51,3,146,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,52,1,211,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,52,2,74,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,52,3,328,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,53,1,223,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,53,2,115,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,53,3,348,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,54,1,154,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,54,2,74,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,54,3,304,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,55,1,208,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,55,2,67,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,
