election_id,round,candidate_number,candidate_name,source_doc_id
comunali_lamezia_2025,1,1,LO MORO DORIS,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,1,2,BEVILACQUA GIANPAOLO,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,1,3,MURONE MARIO,maggioli_2025_totals_mayor_xml
