election_id,section_number,list_number,council_candidate_number,preference_votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,3,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,5,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,7,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,8,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,9,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,10,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,11,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,13,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,14,7,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,15,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,16,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,17,11,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,18,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,20,9,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,22,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,23,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,3,1,24,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,1,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,2,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,3,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,5,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,6,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
