street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
CONTRADA BUCOLIA DI SOPRA E DI SOTTO,C.DA BUCOLIA DI SOPRA E DI SOTTO,1,44,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA BUFALO,C.DA BUFALO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CALABRIA,C.DA CALABRIA,1,45,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CANNETO COLA,C.DA CANNETO COLA,1,18,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CANNETO FRAGALE,C.DA CANNETO FRAGALE,1,44,CONTRADA CANNETO FRAGALE,CONTRADA CANNETO FRAGALE,1246213,2,matched,normalized_exact,high,
CONTRADA CANNETO MORELLI,C.DA CANNETO MORELLI,1,18,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CANNITELLO,C.DA CANNITELLO,1,18,CONTRADA CANNITELLO,CONTRADA CANNITELLO,1245100,5,matched,normalized_exact,high,
CONTRADA CANTARELLE,C.DA CANTARELLE,1,48,CONTRADA CANTARELLE,CONTRADA CANTARELLE,1245101,28,matched,normalized_exact,high,
CONTRADA CAPITOLO COLACINO,C.DA CAPITOLO COLACINO,1,69,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CAPIZZAGLIE,C.DA CAPIZZAGLIE,1,71,CONTRADA CAPIZZAGLIE,CONTRADA CAPIZZAGLIE,1245106,7,matched,normalized_exact,high,
CONTRADA CARBONARA,C.DA CARBONARA,1,45,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARIA,C.DA CARIA,1,46,CONTRADA CARIA,CONTRADA CARIA,1245114,13,matched,normalized_exact,high,
CONTRADA CARIA NICASTRO,C.DA CARIA NICASTRO,1,24,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARONTE,C.DA CARONTE,1,50,CONTRADA CARONTE,CONTRADA CARONTE,1245122,70,matched,normalized_exact,high,
CONTRADA CARRA,C.DA CARRA',1,62,CONTRADA CARRA,CONTRADA CARRA',1245124,1,matched,normalized_exact,high,
CONTRADA CARRA COLA,C.DA CARRA' COLA,1,62,CONTRADA CARRA COLA,CONTRADA CARRA' COLA,1246216,1,matched,normalized_exact,high,
CONTRADA CARRA COSENTINO,C.DA CARRA' COSENTINO,1,62,CONTRADA CARRA COSENTINO,CONTRADA CARRA' COSENTINO,1245125,7,matched,normalized_exact,high,
CONTRADA CARRA FORNACE,C.DA CARRA' FORNACE,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA FOSSE,C.DA CARRA' FOSSE,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA GALICE,C.DA CARRA' GALICE,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA LEONE,C.DA CARRA' LEONE,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA MARCHESE,C.DA CARRA' MARCHESE,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA PANE,C.DA CARRA' PANE,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA TEODOSIO,C.DA CARRA' TEODOSIO,1,62,CONTRADA CARRA TEODOSIO,CONTRADA CARRA' TEODOSIO,1245131,0,matched,normalized_exact,high,
CONTRADA CARRA VATALARO,C.DA CARRA' VATALARO,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRA VOLPE,C.DA CARRA' VOLPE,1,62,CONTRADA CARRA VOLPE,CONTRADA CARRA' VOLPE,1246179,8,matched,normalized_exact,high,
CONTRADA CARRELLO,C.DA CARRELLO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARRERA,C.DA CARRERA,1,30,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CARUSO,C.DA CARUSO,1,65,CONTRADA CARUSO,CONTRADA CARUSO,1245136,0,matched,normalized_exact,high,
CONTRADA CASE SPARSE TALARICO,C.DA CASE SPARSE TALARICO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CASELLA MORTILLA,C.DA CASELLA MORTILLA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CASSINO,C.DA CASSINO,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CASTAGNELLA,C.DA CASTAGNELLA,1,30,CONTRADA CASTAGNELLA,CONTRADA CASTAGNELLA,1246262,0,matched,normalized_exact,high,
CONTRADA CASTURI,C.DA CASTURI,1,24,CONTRADA CASTURI,CONTRADA CASTURI,1245142,28,matched,normalized_exact,high,
CONTRADA CENSI,C.DA CENSI,1,29,CONTRADA CENSI,CONTRADA CENSI,1245150,20,matched,normalized_exact,high,
CONTRADA CERAMIDIO,C.DA CERAMIDIO,1,77,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CERNATOLO,C.DA CERNATOLO,1,31,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CHIANTA,C.DA CHIANTA,1,31,CONTRADA CHIANTA,CONTRADA CHIANTA,1245158,9,matched,normalized_exact,high,
CONTRADA CHIANTELLA,C.DA CHIANTELLA,1,7,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CHIUSA,C.DA CHIUSA,2,29; 50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CHIUSA NICOTERA,C.DA CHIUSA NICOTERA,1,58,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA COLADARCI,C.DA COLADARCI,1,17,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
