event_id,edition_year,event_title,video_id,date,location,speakers,moderator,main_topics,territorial_relevance,civic_relevance_score,analysis_status,notes
trame15_20260620_storie-di-donne-e-uomini-che-resistono,2026,Storie di donne e uomini che resistono,,2026-06-20,Piazzetta San Domenico,Storie di donne e uomini che resistono;,,Storie di donne e uomini che resistono,general,3,not_started,Programma ufficiale sabato-20-giugno-2026; orario 20:45; fonte https://www.tramefestival.it/sabato-20-giugno-2026
trame15_20260620_trame-xl,2026,Trame XL,,2026-06-20,Chiostro San Domenico,Trame XL; Il secolo delle nuove autocrazie; con Goffredo Buccini e Raffaella Calandra (giornalista);,,Trame XL,general,3,not_started,Programma ufficiale sabato-20-giugno-2026; orario 19:30; fonte https://www.tramefestival.it/sabato-20-giugno-2026
trame15_20260620_trame-xl,2026,TRAME XL,,2026-06-20,Palazzo Nicotera,"TRAME XL; Dialogo intorno al carcere ; con Lucia Castellano , Rocco Scicchitano (UEPE Catanzaro) Emanuela Marmo (MicroMega) e Raffaella Calandra ;",,TRAME XL,Lamezia,5,not_started,Programma ufficiale sabato-20-giugno-2026; orario 20:00; fonte https://www.tramefestival.it/sabato-20-giugno-2026
trame15_20260621_chi-ostacola-la-giustizia,2026,Chi ostacola la giustizia,,2026-06-21,Piazzetta San Domenico,Chi ostacola la giustizia; con Nicola Gratteri e Stefano Iannaccone (Domani);,,Chi ostacola la giustizia,general,3,not_started,Programma ufficiale domenica-21-giugno-2026; orario 21:30; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_disagio-carcere-e-dissenso,2026,"Disagio, carcere e dissenso",,2026-06-21,Palazzo Nicotera,"Disagio, carcere e dissenso; con Antonella Inverno e Tommaso Panza (giornalista);",,"Disagio, carcere e dissenso",Lamezia,5,not_started,Programma ufficiale domenica-21-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_giornalismo-contro-le-mafie,2026,Giornalismo contro le mafie,,2026-06-21,Piazzetta San Domenico,Giornalismo contro le mafie; In memoria di Michele Albanese; alla presenza dei familiari; ;;,,Giornalismo contro le mafie,transnational,4,not_started,Programma ufficiale domenica-21-giugno-2026; orario 20:30; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_giulio-regeni-tutto-il-male-del-mondo,2026,Giulio Regeni - Tutto il male del mondo,,2026-06-21,Piazzetta San Domenico,"Giulio Regeni - Tutto il male del mondo; Regia di Simone Manetti; Scrittura di Emanuele Cava e Matteo Billi; Una produzione di Ganesh Produzioni e Fandango,",,Giulio Regeni - Tutto il male del mondo,Italia,4,not_started,Programma ufficiale domenica-21-giugno-2026; orario 23:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_giustizia-negata,2026,Giustizia negata,,2026-06-21,Palazzo Nicotera,Giustizia negata; con Doris Lo Moro e Arcangelo Badolati (Gazzetta del sud);,,Giustizia negata,Lamezia,5,not_started,Programma ufficiale domenica-21-giugno-2026; orario 20:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_i-misteri-delle-stragi-mafie-senza-confini-beni-senza-padroni,2026,"I misteri delle stragi. Mafie senza confini, beni senza padroni",,2026-06-21,Palazzo Nicotera,"I misteri delle stragi. Mafie senza confini, beni senza padroni; con Franco La Torre (attivista antimafia e project manager europeo), Attilio Bolzoni (Domani) e Nuccio Iovene; ;;",,"I misteri delle stragi. Mafie senza confini, beni senza padroni",Lamezia,5,not_started,Programma ufficiale domenica-21-giugno-2026; orario 21:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_i-segreti-della-ndrangheta,2026,I segreti della ‘ndrangheta,,2026-06-21,Palazzo Nicotera,I segreti della ‘ndrangheta; con Antonio Anastasi e Vincenzo Spagnolo (Avvenire);,,I segreti della ‘ndrangheta,Lamezia,5,not_started,Programma ufficiale domenica-21-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_la-guerra-e-merda,2026,La guerra è merda,,2026-06-21,Piazzetta San Domenico,La guerra è merda; con Jacques Charmelot e John Dickie (University College London);,,La guerra è merda,general,3,not_started,Programma ufficiale domenica-21-giugno-2026; orario 19:30; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_lo-sciacallo,2026,Lo sciacallo,,2026-06-21,Palazzo Nicotera,Lo sciacallo; con Valentina Lomellini e Attilio Bolzoni (Domani);,,Lo sciacallo,Lamezia,5,not_started,Programma ufficiale domenica-21-giugno-2026; orario 18:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_neofascismo-attentato-alla-democrazia,2026,"Neofascismo, attentato alla democrazia",,2026-06-21,Chiostro San Domenico,"Neofascismo, attentato alla democrazia; con Mario Di Vito e Enrica Riera (Domani);",,"Neofascismo, attentato alla democrazia",general,3,not_started,Programma ufficiale domenica-21-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_propaganda-lamezia-atto-iii,2026,Propaganda Lamezia ATTO III,,2026-06-21,Piazzetta San Domenico,Propaganda Lamezia ATTO III; con Diego Bianchi (Propaganda Live) e Giovanni Tizian; ;;,,Propaganda Lamezia ATTO III,Lamezia,5,not_started,Programma ufficiale domenica-21-giugno-2026; orario 22:30; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_storie-di-donne-e-uomini-che-resistono,2026,Storie di Donne e uomini che resistono,,2026-06-21,Piazzetta San Domenico,Storie di Donne e uomini che resistono;,,Storie di Donne e uomini che resistono,general,3,not_started,Programma ufficiale domenica-21-giugno-2026; orario 21:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
trame15_20260621_storie-luoghi-anthropologie,2026,Storie Luoghi Anthropologie,,2026-06-21,Pan&Quotidiano - Trame in Città,"Storie Luoghi Anthropologie; con Mauro Minervino , Antonio D’Orrico (giornalista e saggista) e Vinicio Leonetti (giornalista);",,Storie Luoghi Anthropologie,general,3,not_started,Programma ufficiale domenica-21-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/domenica-21-giugno-2026
