event_id,edition_year,event_title,video_id,date,location,speakers,moderator,main_topics,territorial_relevance,civic_relevance_score,analysis_status,notes
trame15_20260618_trame-off,2026,Trame OFF,,2026-06-18,Cafè Retrò - Trame in Città,Trame OFF; Non c'è turismo senza di NOI; LIBERA; di e con Cecilia Lavatore & La Noce;,,Trame OFF,general,3,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 22:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_trame-xl,2026,TRAME XL,,2026-06-18,Palazzo Nicotera,"TRAME XL; Storia della banda neonazi Ludwig; con Alessandra Coppola , Giovanni Bianconi (Corriere della Sera) e John Dickie (University College London);",,TRAME XL,Lamezia,5,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_turismo-e-capitale,2026,Turismo e Capitale,,2026-06-18,Pan&Quotidiano - Trame in Città,"Turismo e Capitale; Con Franco Capalbo , Paolo Caputo (Università della Calabria), Giuseppe Valentino (Filcams CGIL Calabria), Domenico Lico (Kalabria Eco ETS), Celeste Logiacco (Cgil), Stefano Chiaraluce (Filcams Cgil Nazionale) e Jonathan Silvestro (Scomodo);",,Turismo e Capitale,Calabria,4,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_verso-un-manifesto-con-san-luca-dentro-il-territorio-oltre-gli-stereotipi,2026,"Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi",,2026-06-18,Palazzo Nicotera,"Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi; con Francesco Donnici (giornalista e ricercatore), Anna Sergi (Università di Bologna), R osario Rocca (insegnante, scrittore, ex sindaco), Carmen Bagalà (Caritas Locri); ;;",,"Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi",Lamezia,5,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 18:00; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260619_u-maxi,2026,‘U Maxi,,2026-06-19,Piazzetta San Domenico,‘U Maxi; con Pietro Grasso e John Dickie (University College London);,,‘U Maxi,general,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_crisi-guerre-giustizia-le-mafie-nellitalia-2026,2026,"Crisi, guerre, giustizia. Le mafie nell’Italia 2026",,2026-06-19,Piazzetta San Domenico,"Crisi, guerre, giustizia. Le mafie nell’Italia 2026; con Giovanni Melillo (Procuratore nazionale antimafia e antiterrorismo) e Nuccio Iovene; ;;",,"Crisi, guerre, giustizia. Le mafie nell’Italia 2026",Italia,4,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 20:15; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_disarmare-il-presente,2026,Disarmare il presente,,2026-06-19,Chiostro San Domenico,"Disarmare il presente; con Martina Pignatti Morano (Fondazione Finanza Etica), Tana De Zulueta (già corrispondente dall’italia per The Economist e esponente di Archivio Disarmo);",,Disarmare il presente,Italia,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 17:30; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_firenze-1993,2026,Firenze 1993,,2026-06-19,Pan&Quotidiano - Trame in Città,Firenze 1993; con Annamaria Frustaci e Caterina Caparello (giornalista);,,Firenze 1993,general,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_i-padroni-della-ndrangheta,2026,I padroni della 'ndrangheta,,2026-06-19,Palazzo Nicotera,I padroni della 'ndrangheta; con Claudio Cordova e Tommaso Ricciardelli (giornalista);,,I padroni della 'ndrangheta,Lamezia,5,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_i-romanzi-criminali-italiani,2026,I romanzi criminali italiani,,2026-06-19,Chiostro San Domenico,I romanzi criminali italiani; con Antonio D’Orrico (giornalista e saggista) e Gaetano Savatteri (giornalista); ;;,,I romanzi criminali italiani,Italia,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_la-ndrangheta-non-e-per-sempre,2026,La ‘Ndrangheta non è per sempre,,2026-06-19,Piazzetta San Domenico,La ‘Ndrangheta non è per sempre; con Danilo Chirico e Giuseppina Pesce (collaboratrice di giustizia - in collegamento) e Giovanni Tizian ;,,La ‘Ndrangheta non è per sempre,general,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 21:00; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_pietro-grasso-incontra-i-volontari-di-trame,2026,Pietro Grasso incontra i Volontari di Trame,,2026-06-19,Complesso Monumentale di San Domenico,Pietro Grasso incontra i Volontari di Trame;,,Pietro Grasso incontra i Volontari di Trame,general,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 11:00; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_rap-e-resistenza,2026,Rap e resistenza,,2026-06-19,Piazzetta San Domenico,Rap e resistenza; Un talk con Murubutu e Marcello Ravveduto (Università di Salerno); Segue live di Murubutu;,,Rap e resistenza,general,3,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 23:00; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_se-dicessimo-la-verita,2026,Se dicessimo la verità,,2026-06-19,Piazzetta San Domenico,"Se dicessimo la verità; Estratto dello spettacolo teatrale Se dicessimo la verità Ultimo Capitolo di Emanuela Giordano e Giulia Minoli, con Simone Tudda e Lucia Limonta; a seguire; Talk con Vincenzo Chindamo , Deborah Cartisano , Noemi Caputo (CCO), Simone Tudda (attore), Lucia Limonta (attrice) e Giovanni Tizian;",,Se dicessimo la verità,general,2,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 22:00; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
trame15_20260619_sindacato-eversione-neofascista-relazioni-criminali-e-terrore-globale,2026,Sindacato eversione neofascista relazioni criminali e terrore globale,,2026-06-19,Palazzo Nicotera,"Sindacato eversione neofascista relazioni criminali e terrore globale; con Giuliano Benincasa (Università di Bologna), Francesco Palaia , Tania Scacchetti (Segretaria generale Spi Cgil) e Tiziana Bagnato (giornalista);",,Sindacato eversione neofascista relazioni criminali e terrore globale,Lamezia,5,not_started,Programma ufficiale venerdi-19-giugno-2026; orario 17:30; fonte https://www.tramefestival.it/venerd%C3%AC-19-giugno-2026
