person_id,name,role_raw,affiliation_raw,speaker_type,events_count,verification_status,notes
person_giovanni-bianconi,Giovanni Bianconi,Corriere della Sera,Corriere della Sera,unknown,1,official_program_raw,Eventi: TRAME XL
person_giovanni-melillo,Giovanni Melillo,Procuratore nazionale antimafia e antiterrorismo,Procuratore nazionale antimafia e antiterrorismo,magistrato,1,official_program_raw,"Eventi: Crisi, guerre, giustizia. Le mafie nell’Italia 2026"
person_giovanni-tizian,Giovanni Tizian,,,unknown,5,official_program_raw,Eventi: La mafia albanese alla conquista del mondo | La donna che sfidò Cosa Nostra | La ‘Ndrangheta non è per sempre | Se dicessimo la verità | Propaganda Lamezia ATTO III
person_giulia-migneco,Giulia Migneco,,,unknown,1,official_program_raw,Eventi: Mettiamo il Bene in Comune
person_giulia-zanfino,Giulia Zanfino,,,unknown,1,official_program_raw,Eventi: Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita
person_giuliano-benincasa,Giuliano Benincasa ,Università di Bologna,Università di Bologna,accademico,1,official_program_raw,Eventi: Sindacato eversione neofascista relazioni criminali e terrore globale
person_giuseppe-cotroneo,Giuseppe Cotroneo,Confcommercio Lamezia Terme,Confcommercio Lamezia Terme,imprenditore,1,official_program_raw,Eventi: Etica aziendale: presidio di legalità e territorio libero dalle mafie
person_giuseppe-politano,Giuseppe Politanò,"Coordinatore regionale, vicesindaco di Polistena","Coordinatore regionale, vicesindaco di Polistena",rappresentante_istituzionale,1,official_program_raw,Eventi: Mettiamo il Bene in Comune
person_giuseppe-smorto,Giuseppe Smorto,Repubblica,Repubblica,giornalista,2,official_program_raw,Eventi: Etica aziendale: presidio di legalità e territorio libero dalle mafie | C’era l’amore a Sarajevo
person_giuseppe-valentino,Giuseppe Valentino,Filcams CGIL Calabria,Filcams CGIL Calabria,unknown,1,official_program_raw,Eventi: Turismo e Capitale
person_giuseppina-imbrogno,Giuseppina Imbrogno,Università della Calabria,Università della Calabria,accademico,1,official_program_raw,Eventi: Abitiamo il lametino
person_giuseppina-pesce,Giuseppina Pesce,collaboratrice di giustizia - in collegamento,collaboratrice di giustizia - in collegamento,unknown,1,official_program_raw,Eventi: La ‘Ndrangheta non è per sempre
person_goffredo-buccini,Goffredo Buccini,Corriere della Sera,Corriere della Sera,unknown,2,official_program_raw,Eventi: Decostruzione del termine terrone e ritorno alle terre del Sud | Trame XL
person_ichelangelo-di-stefano,ichelangelo Di Stefano,Consulente XVIII Commissione Parlamentare Antimafia,Consulente XVIII Commissione Parlamentare Antimafia,unknown,1,official_program_raw,Eventi: Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita
person_il-prezzo-della-legalita,Il prezzo della legalità,,,unknown,1,official_program_raw,Eventi: Le mafie che opprimono
person_il-secolo-delle-nuove-autocrazie,Il secolo delle nuove autocrazie,,,unknown,1,official_program_raw,Eventi: Trame XL
person_ippolita-luzzo,Ippolita Luzzo,Il Regno della Litweb,Il Regno della Litweb,unknown,1,official_program_raw,Eventi: In memoria di Giovanna Casadio
person_jacques-charmelot,Jacques Charmelot,,,unknown,1,official_program_raw,Eventi: La guerra è merda
person_john-dickie,John Dickie,University College London,University College London,accademico,4,official_program_raw,Eventi: Quando il potere diventò regime | TRAME XL | ‘U Maxi | La guerra è merda
person_jonathan-silvestro,Jonathan Silvestro,Scomodo,Scomodo,unknown,1,official_program_raw,Eventi: Turismo e Capitale
